# HSK 3 sentence stories. Max 8 sentences per card.
# Target: 500/500 unique HSK3 words (HSK1–3 vocab only).
# @title Chinese|Thai · sentence lines Chinese|Thai

@level 3
@card
@title 周末去公园|สุดสัปดาห์ที่สวนสาธารณะ
去年冬天我穿大衣。|หน้าหนาวปีที่แล้วฉันใส่เสื้อโค้ท
今年换短裤子。|ปีนี้เปลี่ยนกางเกงขาสั้น
我喜欢这样的季节变化。|ฉันชอบการเปลี่ยนฤดูกาลแบบนี้
每个季节都可爱。|ทุกฤดูกาลน่ารักหมด
@card
@title 动物世界|โลกของสัตว์
动物园里有大熊猫。|ในสวนสัตว์มีแพนด้ายักษ์
还有马、羊、牛和鸟。|ยังมีม้า แกะ วัว และนก
这些动物都挺可爱。|สัตว์พวกนี้ค่อนข้างน่ารัก
小朋友又拍照又照相。|เด็กๆ ทั้งถ่ายรูปทั้งถ่ายภาพ
相机里都是照片。|ในกล้องเป็นรูปทั้งหมด
突然一只鸟飞起来。|ทันใดนั้นนกตัวหนึ่งบินขึ้น
孩子们都极开心。|เด็กๆ ดีใจที่สุด
世界真有意思。|โลกนี้ช่างน่าสนใจจริงๆ
@card
@title 教室对话|บทสนทนาในห้องเรียน
校长来教室听课。|ผู้อำนวยการมาฟังการสอนในห้อง
班级里男生女生都安静。|ในชั้นทั้งนักเรียนชายหญิงเงียบ
老师讲课文和句子。|ครูสอนบทเรียนกับประโยค
这句该怎么读？|ประโยคนี้ควรอ่านยังไง
先复习学期的课文。|ทบทวนบทเรียนของภาคเรียนก่อน
然后做练习和作业。|แล้วทำแบบฝึกหัดกับการบ้าน
不懂就问老师。|ไม่เข้าใจก็ถามครู
终于明白了。|ในที่สุดก็เข้าใจแล้ว
@card
@title 外卖和方便面|เดลิเวอรีกับบะหมี่กึ่งสำเร็จรูป
昨天我太饿了。|เมื่อวานฉันหิวมาก
先点了外卖。|สั่งเดลิเวอรีก่อน
碗和盘子放在桌子上。|ชามกับจานวางบนโต๊ะ
筷子和勺子也准备好了。|ตะเกียบกับช้อนก็เตรียมแล้ว
没有外卖的时候吃方便面。|ไม่มีเดลิเวอรีก็กินบะหมี่กึ่งสำเร็จรูป
糖和啤酒都少喝。|น้ำตาลกับเบียร์ดื่มน้อยลง
矿泉水最好。|น้ำแร่ดีที่สุด
饱了就休息。|อิ่มแล้วก็พัก
@card
@title 害怕着急|กลัวและร้อนใจ
听新闻的时候我有点儿害怕。|ตอนฟังข่าวฉันกลัวหน่อย
好像出了大事。|เหมือนมีเรื่องใหญ่เกิดขึ้น
其实只是一般的故事。|จริงๆ แล้วเป็นแค่เรื่องทั่วไป
可是刚才我很着急。|แต่เมื่อกี้ฉันร้อนใจมาก
后来发现没什么。|ต่อมาพบว่าไม่มีอะไร
难过了一会儿就好了。|เสียใจครู่หนึ่งก็ดีขึ้น
我们应该安静一点儿。|พวกเราควรเงียบหน่อย
关心别人也很重要。|ห่วงใยคนอื่นก็สำคัญ
@card
@title 新旧不同|เก่ากับใหม่ไม่เหมือนกัน
旧的办法不行了。|วิธีเก่าใช้ไม่ได้แล้ว
必须换新的方法。|ต้องเปลี่ยนวิธีใหม่
根据需要选择。|เลือกตามความต้องการ
不但方便，而且安全。|ไม่เพียงสะดวก แต่ยังปลอดภัย
别人觉得奇怪。|คนอื่นรู้สึกแปลก
可是我认为这样最好。|แต่ฉันคิดว่าแบบนี้ดีที่สุด
变化不但发生在校园里。|การเปลี่ยนแปลงไม่เกิดแค่ในวิทยาเขต
也发生在身边。|เกิดข้างตัวเราด้วย
@card
@title 年轻老人|หนุ่มสาวกับผู้สูงอายุ
年轻的留学生来自西方。|นักเรียนต่างชาติหนุ่มมาจากตะวันตก
老人来自北方。|ผู้สูงอายุมาจากภาคเหนือ
她们姐妹关系很好。|พี่สาวน้องสาวสัมพันธ์ดีมาก
阿姨帮助照顾孩子。|ป้าช่วยดูแลเด็ก
叔叔请我们吃饭。|อาเลี้ยงพวกเรากินข้าว
见面时都很热情。|ตอนพบกันอบอุ่นมาก
欢迎你们来。|ยินดีต้อนรับพวกคุณ
夫妻也很高兴。|สามีภรรยาก็ดีใจมาก
@card
@title 头发腿脚|ผม ขา และเท้า
他的头发又长又多。|ผมของเขาทั้งยาวทั้งเยอะ
腿和脚都很健康。|ขาและเท้าสุขภาพดีมาก
跑步以后有点儿瘦了。|วิ่งแล้วผอมลงหน่อย
脸上带着满意的笑。|บนใบหน้ามีรอยยิ้มพอใจ
耳朵上有耳机。|ที่หูมีหูฟัง
听着音乐练习。|ฟังเพลงไปฝึกไป
牙刷洗得很干净。|แปรงสีฟันล้างสะอาดมาก
牙也要常刷。|ฟันก็ต้องแปรงบ่อย
@card
@title 颜色和声音|สีสันกับเสียง
蓝裙子和花真好看。|กระโปรงน้ำเงินกับดอกไม้สวยจริง
声音从黑板那边来。|เสียงมาจากทางกระดานดำ
难听的叫声让人难过。|เสียงร้องไม่ไพเราะทำให้เสียใจ
好听的音乐让人满意。|เพลงไพเราะทำให้พอใจ
声不大，可是很清楚。|เสียงไม่ดัง แต่ชัดมาก
我听见鸡在叫。|ฉันได้ยินไก่ขัน
风刮过草地。|ลมพัดผ่านทุ่งหญ้า
环境安静又舒服。|สภาพแวดล้อมเงียบและสบาย
@card
@title 难和容易|ยากกับง่าย
这个难题看起来很难。|ปัญหายากนี้ดูยากมาก
其实方法很简单。|จริงๆ แล้ววิธีง่ายมาก
只要认真，就容易懂。|ขอเพียงจริงจังก็เข้าใจง่าย
不但要记，而且要练。|ไม่เพียงต้องจำ แต่ต้องฝึกด้วย
难看的字要再写。|ตัวอักษรที่ดูไม่ดีต้องเขียนใหม่
提高以后就会了。|ยกระดับแล้วก็จะเป็น
坚持半天才完成。|ยืนหยัดครึ่งวันถึงเสร็จ
终于解决了问题。|ในที่สุดก็แก้ปัญหาได้
@card
@title 多久好久|นานแค่ไหน
我们已经好久没见面了。|พวกเราไม่ได้พบกันนานมากแล้ว
前年春天你还在外地。|ฤดูใบไม้ผลิสองปีก่อนคุณยังอยู่ต่างจังหวัด
后年我们再见面吧。|อีกสองปีข้างหน้าพบกันใหม่เถอะ
后天我就要出发。|มะรืนนี้ฉันจะออกเดินทาง
前天我才收到信。|วานซืนฉันเพิ่งได้รับจดหมาย
不久就会回来。|ไม่นานก็จะกลับมา
一直关注新闻。|ติดตามข่าวตลอด
别不见那么久。|อย่าหายไปนานขนาดนั้น
@card
@title 雨衣和伞|เสื้อกันฝนกับร่ม
下雨了，快拿雨衣。|ฝนตกแล้ว รีบเอาเสื้อกันฝน
或者带一把伞。|หรือพกร่มมาด้วย
路上有点脏。|บนถนนสกปรกหน่อย
小心别哭。|ระวังอย่าร้องไห้
河水很高。|น้ำในแม่น้ำสูงมาก
海边的风刮得很大。|ลมทะเลพัดแรงมาก
换双干净的鞋。|เปลี่ยนกรองเท้าที่สะอาด
回家马上洗澡。|กลับบ้านอาบน้ำทันที
@card
@title 银行办事|ไปทำธุระที่ธนาคาร
我去银行办卡。|ฉันไปธนาคารทำบัตร
需要护照和银行卡。|ต้องใช้พาสปอร์ตกับบัตรธนาคาร
号码是多少？|หมายเลขเท่าไหร่
一共办了半天。|รวมแล้วทำครึ่งวัน
服务人员很热情。|พนักงานบริการอบอุ่นมาก
信用卡也可以用。|บัตรเครดิตก็ใช้ได้
办完再去会议室。|ทำเสร็จแล้วไปห้องประชุม
会议马上开始。|การประชุมกำลังจะเริ่ม
@card
@title 游戏网站|เกมกับเว็บไซต์
我喜欢上网玩游戏。|ฉันชอบเข้าเน็ตเล่นเกม
这个网站有用又好玩。|เว็บนี้มีประโยชน์และสนุก
邮箱里有新邮件。|ในกล่องจดหมายมีอีเมลใหม่
新闻更新得很快。|ข่าวอัปเดตเร็วมาก
兴趣班有语言课。|ชั้นเรียนพิเศษมีวิชาภาษา
外语水平需要提高。|ระดับภาษาต่างประเทศต้องยกระดับ
作业写在纸上。|การบ้านเขียนบนกระดาษ
一共二十页。|ทั้งหมดยี่สิบหน้า
@card
@title 差不多满意|เกือบพอใจ
大小差不多合适。|ขนาดเกือบพอดี
钱差不多一百。|เงินเกือบหนึ่งร้อย
我觉得挺满意。|ฉันค่อนข้างพอใจ
别人认为太贵。|คนอื่นคิดว่าแพงไป
可是东西真好。|แต่ของดีจริง
只是颜色有点难看。|แค่สีดูไม่ค่อยดี
换别的也行。|เปลี่ยนอันอื่นก็ได้
只要你喜欢就好。|ขอเพียงคุณชอบก็พอ
@card
@title 摄影画家|ช่างภาพกับจิตรกร
画家在花园里画画。|จิตรกรวาดรูปในสวนดอกไม้
相机放在箱子里。|กล้องอยู่ในกล่อง
我们向他学习拍照。|พวกเราเรียนถ่ายรูปจากเขา
香蕉和西瓜很好吃。|กล้วยกับแตงโมอร่อยมาก
月亮画得很清楚。|พระจันทร์วาดชัดมาก
后来照片张张都好看。|ต่อมารูปแต่ละแผ่นสวยหมด
把照片送给游客。|เอารูปให้แก่นักท่องเที่ยว
人人都满意。|ทุกคนพอใจ
@card
@title 做饭请客|ทำอาหารเลี้ยงแขก
今天我请客。|วันนี้ฉันเลี้ยง
先准备鸡和米。|เตรียมไก่กับข้าวก่อน
加一点儿糖。|ใส่น้ำตาลหน่อย
尝一尝菜。|ชิมอาหารดู
酒放在中间。|เหล้าวางตรงกลาง
盘子碗都干净。|จานชามสะอาดหมด
客人终于来了。|แขกมาในที่สุด
咱们一起喝吧！|พวกเราดื่มด้วยกันเถอะ!
@card
@title 年级学生|นักเรียนแต่ละชั้น
一年级的孩子个子矮。|เด็กป.1ตัวเตี้ย
初中男生很高。|เด็กชายมัธยมต้นสูงมาก
名单上有很多名字。|ในรายชื่อมีชื่อเยอะ
名人来学校说话。|คนดังมาพูดที่โรงเรียน
我们年级常参加比赛。|ชั้นของเราเข้าร่วมการแข่งขันบ่อย
成绩必须自己努力。|คะแนนต้องพยายามเอง
生气解决不了问题。|โกรธแก้ปัญหาไม่ได้
笑一笑更有用。|ยิ้มๆ มีประโยชน์กว่า
@card
@title 电梯楼梯|ลิฟต์กับบันได
楼上有电梯。|ชั้นบนมีลิฟต์
一层一层上去。|ขึ้นทีละชั้น
楼梯也很安全。|บันไดก็ปลอดภัยมาก
桌子在屋子中间。|โต๊ะอยู่กลางห้อง
沙发旁边有灯。|ข้างโซฟามีไฟ
瓶子放在上面。|ขวดวางด้านบน
地扫得很干净。|พื้นกวาดสะอาดมาก
先扫地再放东西。|กวาดพื้นก่อนแล้วค่อยวางของ
@card
@title 突然忘记|ลืมไปกะทันหัน
突然我忘记带伞了。|ทันใดนั้นฉันลืมเอาร่ม
心里很着急。|ในใจร้อนใจมาก
怎么办？|ทำอย่างไรดี?
只能先回去拿。|ทำได้แค่กลับไปเอาก่อน
着急也没用。|ร้อนใจก็ไม่มีประโยชน์
习惯带伞就好了。|ติดนิสัยพกร่มก็ดีแล้ว
以后一定注意。|ต่อจากนี้ต้องใส่ใจแน่นอน
好在没丢别的东西。|โชคดีที่ของอื่นไม่หาย
@card
@title 刚才发现|เมื่อกี้เพิ่งค้นพบ
刚才我发现一件事。|เมื่อกี้ฉันเพิ่งพบเรื่องหนึ่ง
地图上少了一段路。|บนแผนที่ขาดช่วงถนนไปช่วงหนึ่ง
好像写错了。|เหมือนเขียนผิด
根据检查，真有问题。|ตามการตรวจสอบ มีปัญหาจริง
差一点儿就找不到。|เกือบจะหาไม่เจอ
后来我们换了方向。|ต่อมาพวกเราเปลี่ยนทิศทาง
得到好的新闻。|ได้รับข่าวดี
发展更清楚了。|การพัฒนาชัดขึ้น
@card
@title 请假休假|ขอลากับลาพัก
我想请假两天。|ฉันอยากขอลาสองวัน
因为爱人住院了。|เพราะคู่รักนอนโรงพยาบาล
经理同意了。|ผู้จัดการเห็นด้วย
休假时多照顾家人。|ตอนลาพักดูแลครอบครัวเยอะๆ
洗衣机帮忙洗衣服。|เครื่องซักผ้าช่วยซักผ้า
房子里打扫干净。|ในบ้านทำความสะอาดเรียบร้อย
担心变成放心。|ความกังวลกลายเป็นความวางใจ
健康回来再上班。|สุขภาพดีแล้วค่อยไปทำงาน
@card
@title 月亮体育|พระจันทร์กับกีฬา
今天晚上月亮很大。|คืนนี้พระจันทร์ใหญ่มาก
我们在公园打网球。|พวกเราเล่นเทนนิสในสวน
体育比赛很有意思。|การแข่งกีฬาน่าสนใจมาก
越跑越高兴。|ยิ่งวิ่งยิ่งดีใจ
突然腿有点儿疼。|ทันใดนั้นขาเจ็บหน่อย
休息一下再练习。|พักหน่อยแล้วฝึกต่อ
身体又瘦了。|ร่างกายผอมลงอีก
运动影响健康。|กีฬาส่งผลต่อสุขภาพ
@card
@title 自行车出发|จักรยานกับออกเดินทาง
早上骑自行车出发。|เช้าขี่จักรยานออกเดินทาง
行李放在后面。|กระเป๋าวางด้านหลัง
检票以后上高铁。|ตรวจตั๋วแล้วขึ้นรถไฟความเร็วสูง
起飞前先看行李。|ก่อนเครื่องขึ้น ดูสัมภาระก่อน
司机说马上到站。|คนขับบอกว่าใกล้ถึงสถานีแล้ว
晚点了十分钟。|สายไปสิบนาที
站着等车挺累。|ยืนรอดรถค่อนข้างเหนื่อย
终于到了外地。|ในที่สุดก็ถึงต่างจังหวัด
@card
@title 黑板句子|ประโยคบนกระดานดำ
老师在黑板上写句子。|ครูเขียนประโยคบนกระดานดำ
这句讲的是过去的故事。|ประโยคนี้พูดถึงเรื่องในอดีต
或者写关于季节的课文。|หรือเขียนบทเรียนเกี่ยวกับฤดูกาล
每句都记在笔记本上。|ทุกประโยคจดไว้ในสมุด
复习时打开课本。|ตอนทบทวนเปิดตำรา
讲完就结束了。|สอนเสร็จก็จบแล้ว
作业写在最后一页。|การบ้านเขียนหน้าสุดท้าย
最好再检查一遍。|ควรตรวจซ้ำอีกครั้ง
@card
@title 关心帮助|ห่วงใยและช่วยเหลือ
别人需要帮助时要关心。|เมื่อคนอื่นต้องการความช่วยเหลือต้องห่วงใย
借东西也要记得还。|ยืมของก็ต้องจำคืน
受到关心会很高兴。|ได้รับการห่วงใยจะดีใจมาก
服务别人让自己开心。|บริการคนอื่นทำให้ตัวเองมีความสุข
接电话要热情。|รับโทรศัพท์ต้องอบอุ่น
讲清楚自己的要求。|พูดข้อเรียกร้องของตัวเองให้ชัด
才能解决问题。|จึงจะแก้ปัญหาได้
这样国家才会更好。|แบบนี้ประเทศถึงจะดีขึ้น
@card
@title 常用方法|วิธีที่ใช้บ่อย
常用的方法其实很简单。|วิธีที่ใช้บ่อยจริงๆ แล้วง่ายมาก
比如先打算，然后开始。|เช่น วางแผนก่อน แล้วเริ่ม
不但快，而且安全。|ไม่เพียงเร็ว แต่ยังปลอดภัย
只是需要一点儿时间。|แค่ต้องการเวลาหน่อย
直到完成才休息。|จนเสร็จถึงพัก
只有这样做才有用。|มีเพียงทำแบบนี้ถึงจะมีประโยชน์
一般人都会。|คนทั่วไปทำได้
主要是认真。|หลักๆ คือจริงจัง
@card
@title 兴趣爱好|ความสนใจและงานอดิเรก
我对历史感兴趣。|ฉันสนใจประวัติศาสตร์
也喜爱音乐和语言。|ก็ชื่นชอบดนตรีกับภาษา
兴趣班里常聊天儿。|ในห้องสนใจคุยเล่นบ่อย
留学生讲自己国家的故事。|นักเรียนต่างชาติเล่าเรื่องประเทศตัวเอง
我也愿意说话。|ฉันก็ยินดีพูด
了解世界很有用。|รู้จักโลกมีประโยชน์มาก
有关文化的书我也读。|หนังสือเกี่ยวกับวัฒนธรรมฉันก็อ่าน
这样句子就越来越多。|ประโยคก็ยิ่งมากขึ้น
@card
@title 节日节目|เทศกาลกับรายการ
节日里有很多节目。|ในเทศกาลมีรายการเยอะ
晚会表演很好看。|การแสดงงานเย็นสวยมาก
夏天花园开花。|หน้าร้อนกสวนออกดอก
过节时到处都是人。|ตอนฉลองเทศกาลคนเต็มไปหมด
放假孩子们很开心。|ปิดเทอร์มเด็กๆ มีความสุขมาก
假期里一起爬山。|ช่วงหยุดปีนเขาด้วยกัน
新年我们换新衣服。|ปีใหม่พวกเราใส่เสื้อผ้าใหม่
最后一起看月亮。|สุดท้ายดูพระจันทร์ด้วยกัน
@card
@title 城市发展|การพัฒนาเมือง
这个城市发展得很快。|เมืองนี้พัฒนาเร็วมาก
发现了新的公园。|พบสวนสาธารณะแห่งใหม่
干净的马路让人放心。|ถนนสะอาดทำให้วางใจ
机票放在汽车里。|ตั๋วเครื่องบินอยู่ในรถยนต์
根据需要做新楼。|สร้างตึกใหม่ตามความต้องการ
影响很多人的生活。|มีผลต่อชีวิตคนจำนวนมาก
国家要求注意安全。|ประเทศกำหนดให้ใส่ใจความปลอดภัย
总是把人放在中间。|มักเอาผู้คนไว้ตรงกลาง
@card
@title 夏天锻炼|ออกกำลังกายหน้าร้อน
夏天我常锻炼身体。|หน้าร้อนฉันออกกำลังกายบ่อย
先慢跑，再跳一会儿。|วิ่งเหยาะก่อน แล้วกระโดดสักครู่
练网球和羽毛球。|ฝึกเทนนิสกับแบดมินตัน
脚有点儿累没关系。|เท้าเหนื่อยหน่อยไม่เป็นไร
喝饮料也很好。|ดื่มเครื่องดื่มก็ดี
觉得凉快了再开始。|รู้สึกเย็นสบายแล้วค่อยเริ่ม
胖的人更要运动。|คนอ้วนยิ่งต้องออกกำลัง
健康比成绩更重要。|สุขภาพสำคัญกว่าคะแนน
@card
@title 信用卡安全|ความปลอดภัยของบัตรเครดิต
用信用卡要小心。|ใช้บัตรเครดิตต้องระวัง
号码别告诉别人。|อย่าบอกหมายเลขให้คนอื่น
收到短信马上查看。|ได้รับข้อความให้ดูทันที
发现不对就关机。|พบว่าไม่ถูกก็ปิดเครื่อง
到银行查一下。|ไปธนาคารตรวจสอบ
安全比方便重要。|ความปลอดภัยสำคัญกว่าความสะดวก
只有你知道号码。|มีเพียงคุณที่รู้หมายเลข
这样就能放心。|แบบนี้ก็วางใจได้
@card
@title 分别再见|แยกย้ายลาก่อน
朋友快要分开了。|เพื่อนกำลังจะแยกกัน
她回西方去留学。|เธอกลับตะวันตกไปเรียนต่อ
送她到机场检票。|ส่งเธอถึงสนามบินตรวจตั๋ว
我差一点哭了。|ฉันเกือบร้องไห้
可是我们都没哭。|แต่พวกเราไม่ได้ร้องไห้
发一封信关心关系。|ส่งจดหมายหนึ่งซองห่วงใยสัมพันธ์
关注她的新闻。|ติดตามข่าวของเธอ
后年夏天再见。|ฤดูร้อนอีกสองปีข้างหน้าพบกันใหม่
@card
@title 教室安静|ห้องเรียนเงียบสงบ
下课以后教室很安静。|เลิกเรียนแล้วห้องเรียนเงียบมาก
刚开始打扫教室。|เพิ่งเริ่มทำความสะอาดห้อง
刚刚扫完地。|เพิ่งกวาดพื้นเสร็จ
关了空调和灯。|ปิดแอร์กับไฟแล้ว
安静的环境很好学习。|สภาพแวดล้อมเงียบเรียนได้ดี
年级更高的学生更努力。|นักเรียนชั้นสูงกว่ายิ่งพยายาม
把把椅子放回中间。|เอาเก้าอี้กลับไปตรงกลาง
干净了才离开。|สะอาดแล้วค่อยออกไป
@card
@title 重要决定|การตัดสินใจสำคัญ
这是一个重要的决定。|นี่คือการตัดสินใจสำคัญ
主要是选择怎样生活。|หลักๆ คือเลือกจะใช้ชีวิตอย่างไร
以为自己很明白。|คิดว่าตัวเองเข้าใจแล้ว
其实还不清楚。|จริงๆ แล้วยังไม่ชัด
