Chinese	Pinyin	POS	Thai
粗心	cūxīn	adj	สะเพร่า/ไม่รอบคอบ
答	dá	v	ตอบ
打招呼	dǎ zhāohu	expr	ทักทาย
答案	dá'àn	n	คำตอบ
大巴	dàbā	n	รถบัสใหญ่/รถทัวร์
打败	dǎbài	v	เอาชนะ
大大	dàdà	adv	อย่างมาก
达到	dádào	v	บรรลุ/ถึง
打工	dǎgōng	v	ทำงานรับจ้าง
戴	dài	v	สวม (เครื่องประดับ/หมวก แว่น นาฬิกา ฯลฯ)
待	dāi	v	อยู่/รอ
大夫	dàifu	n	คุณหมอ
袋子	dàizi	n	ถุง
大量	dàliàng	adj	จำนวนมาก
当	dāng	v/prep	เป็น/ขณะ
当时	dāngshí	n	ขณะนั้น/ตอนนั้น
单位	dānwèi	n	หน่วยงาน
倒	dào	v/adv	เท/กลับด้าน
道	dào	n/mw	เส้น/สาย/ถนน
刀	dāo	n	มีด
到底	dàodǐ	adv	กันแน่/ท้ายที่สุด
到来	dàolái	v	มาถึง
道路	dàolù	n	ถนน/เส้นทาง
道歉	dàoqiàn	v	ขอโทษ
导游	dǎoyóu	v/n	นำเที่ยว/มัคคุเทศก์
打扰	dǎrǎo	v	รบกวน
大赛	dàsài	n	การแข่งขันใหญ่
大厅	dàtīng	n	ห้องโถง/ล็อบบี้
打印	dǎyìn	v	พิมพ์
答应	dāying	v	ตกลง/รับปาก
打印机	dǎyìnjī	n	เครื่องพิมพ์
大约	dàyuē	adv	ประมาณ
打折	dǎzhé	v	ลดราคา
打针	dǎzhēn	v	ฉีดยา
大自然	dàzìrán	n	ธรรมชาติ
等	děng	part/n/mw	ฯลฯ/เป็นต้น
等到	děngdào	prep	รอจนกว่า
登机	dēngjī	v	ขึ้นเครื่องบิน
得意	déyì	adj	ภูมิใจ/ย่ามใจ
底	dǐ	n	ก้น/ล่างสุด
低	dī	adj/v	ต่ำ/ลดลง
电动车	diàndòngchē	n	รถไฟฟ้า
点名	diǎnmíng	v	เรียกชื่อ
电视剧	diànshìjù	n	ละครโทรทัศน์
点头	diǎntóu	v	พยักหน้า
掉	diào	v	ตก/หล่น
调查	diàochá	v	สำรวจ/สืบสวน
低价	dījià	n	ราคาต่ำ
订	dìng	v	จอง/สั่ง
定	dìng	v	กำหนด/ตัดสิน
地球	dìqiú	n	โลก
低温	dīwēn	n	อุณหภูมิต่ำ
底下	dǐxia	n	ข้างใต้
低于	dīyú	v	ต่ำกว่า
地址	dìzhǐ	n	ที่อยู่
东部	dōngbù	n	ภาคตะวันออก
动车	dòngchē	n	รถไฟความเร็วสูง
动作	dòngzuò	n	การเคลื่อนไหว/ท่าทาง
短信	duǎnxìn	n	ข้อความ SMS
堵车	dǔchē	v	รถติด
队	duì	n/mw	ทีม
对方	duìfāng	n	ฝ่ายตรงข้าม/อีกฝ่าย
对面	duìmiàn	n	ตรงข้าม
对于	duìyú	prep	สำหรับ/เกี่ยวกับ
队员	duìyuán	n	สมาชิกทีม
队长	duìzhǎng	n	หัวหน้าทีม
度假	dùjià	v	ไปท่องเที่ยว/ไปพักผ่อน
顿	dùn	mw/v	มื้อ (อาหาร)
多么	duōme	adv	ช่าง.../เพียงใด
多数	duōshù	n	ส่วนใหญ่
多样	duōyàng	adj	หลากหลาย
读者	dúzhě	n	ผู้อ่าน
肚子	dùzi	n	ท้อง
而	ér	conj	แต่/และ
儿童	értóng	n	เด็ก
法	fǎ	n	กฎหมาย/วิธี
发出	fāchū	v	ออก/ส่งออก
法律	fǎlǜ	n	กฎหมาย
烦	fán	adj/v	รำคาญ
反对	fǎnduì	v	คัดค้าน
房东	fángdōng	n	เจ้าของบ้าน/เจ้าของที่พัก
方面	fāngmiàn	n	ด้าน/แง่มุม
放弃	fàngqì	v	ยอมแพ้/ล้มเลิก
方式	fāngshì	n	วิธีการ/รูปแบบ
放松	fàngsōng	v	ผ่อนคลาย
房租	fángzū	n	ค่าเช่า
烦恼	fánnǎo	adj	กังวล/ความกังวล
翻译	fānyì	v/n	แปล/นักแปล
发送	fāsòng	v	ส่ง
费	fèi	n/v	ค่าใช้จ่าย/ใช้จ่าย
费用	fèiyong	n	ค่าใช้จ่าย
份	fèn	mw	ชุด/ส่วน/ฉบับ
丰富	fēngfù	adj	อุดมสมบูรณ์/หลากหลาย
风景	fēngjǐng	n	ทัศนียภาพ
分数	fēnshù	n	คะแนน
分为	fēnwéi	v	แบ่งเป็น
否则	fǒuzé	conj	มิฉะนั้น
幅	fú	mw	ภาพ/ผ้า (ลักษณนาม)
付	fù	v	จ่าย
符合	fúhé	v	สอดคล้อง/เป็นไปตาม
父母	fùmǔ	n	พ่อแม่
父女	fùnǚ	n	พ่อและลูกสาว
父亲	fùqīn	n	พ่อ(ทางการ)
复印	fùyìn	v	ถ่ายเอกสาร
复杂	fùzá	adj	ซับซ้อน
负责	fùzé	v/adj	รับผิดชอบ
负责人	fùzérén	n	ผู้รับผิดชอบ
父子	fùzǐ	n	พ่อและลูกชาย
改	gǎi	v	เปลี่ยนแปลง/แก้ไข
改变	gǎibiàn	v/n	เปลี่ยนแปลง,การเปลี่ยนแปลง
赶	gǎn	v	รีบ/ไล่
敢	gǎn	v	กล้า
感	gǎn	suffix	ความรู้สึก (suffix)
干	gān	adj/n	แห้ง
干杯	gānbēi	v	ชนแก้ว
感动	gǎndòng	adj/v	ซาบซึ้ง/ทำให้ซาบซึ้ง
钢琴	gāngqín	n	เปียโน
干活儿	gànhuór	v	ทำงาน
赶紧	gǎnjǐn	adv	รีบ/โดยเร็ว
感觉	gǎnjué	n/v	ความรู้สึก/รู้สึก
赶快	gǎnkuài	adv	เร็วๆ/รีบ
感情	gǎnqíng	n	ความรู้สึก/อารมณ์
感人	gǎnrén	adj	ซาบซึ้งใจ
赶上	gǎnshàng	v	ทัน/ตามทัน
感受	gǎnshòu	v/n	รู้สึก/ความรู้สึก
感谢	gǎnxiè	v	ขอบคุณ
高价	gāojià	n	ราคาสูง
高考	gāokǎo	n	การสอบเข้ามหาวิทยาลัย
高速	gāosù	adj	ความเร็วสูง
高温	gāowēn	n	อุณหภูมิสูง
高于	gāoyú	v	สูงกว่า
各	gè	pron/adv	แต่ละ/ต่างๆ
胳膊	gēbo	n	แขน
各地	gèdì	n	พื้นที่ต่าง ๆ/ทั่วทุกแห่ง
各个	gègè	pron/adv	แต่ละ
更加	gèngjiā	adv	ยิ่งขึ้น
歌声	gēshēng	n	เสียงร้องเพลง
歌手	gēshǒu	n	นักร้อง
各位	gèwèi	pron	ทุกท่าน
各种	gèzhǒng	pron	ทุกชนิด/หลากหลายชนิด
共	gòng	adv	รวมทั้งหมด
工厂	gōngchǎng	n	โรงงาน
功夫	gōngfu	n	กังฟู/ความสามารถ
公共	gōnggòng	adj	สาธารณะ
功课	gōngkè	n	การบ้าน
公里	gōnglǐ	mw	กิโลเมตร
公路	gōnglù	n	ถนนสายหลัก/ทางหลวง
工人	gōngrén	n	คนงาน/กรรมกร
共同	gòngtóng	adj	ร่วมกัน
工资	gōngzī	n	เงินเดือน/ค่าจ้าง
够	gòu	v/adv	พอ/เพียงพอ
购买	gòumǎi	v	ซื้อ
购物	gòuwù	v	ซื้อของ/ช้อปปิ้ง
挂	guà	v	แขวน
管	guǎn	v/n/mw	ดูแล/ควบคุม/ท่อ
逛	guàng	v	เดินเที่ยว/เดินชม
光	guāng	n/adj/v/adv	แสง/เปลือย
广播	guǎngbō	v/n	กระจายเสียง/วิทยุ
广告	guǎnggào	n	โฆษณา
关键	guānjiàn	n/adj	สำคัญ/กุญแจ
观看	guānkàn	v	ชม/ดู
管理	guǎnlǐ	v	จัดการ/บริหาร
观众	guānzhòng	n	ผู้ชม
规定	guīdìng	v/n	กำหนด/ข้อกำหนด
估计	gūjì	v	ประมาณ/คาดการณ์
顾客	gùkè	n	ลูกค้า
鼓励	gǔlì	v	กระตุ้น/ให้กำลังใจ
姑娘	gūniang	n	หญิงสาว/ลูกสาว
过程	guòchéng	n	กระบวนการ/ขั้นตอน
国籍	guójí	n	สัญชาติ
国际	guójì	adj/n	ระหว่างประเทศ/นานาชาติ
果汁	guǒzhī	n	น้ำผลไม้
故意	gùyì	adv	จงใจ/ตั้งใจ/มีเจตนา
害羞	hàixiū	adj	อาย/ขี้อาย
海洋	hǎiyáng	n	มหาสมุทร
汗	hàn	n	เหงื่อ
喊	hǎn	v	ตะโกน
航班	hángbān	n	เที่ยวบิน
寒假	hánjià	n	ปิดเทอมฤดูหนาว
寒冷	hánlěng	adj	หนาวเย็น
好处	hǎochù	n	ข้อดี/ประโยชน์
好好	hǎohǎo	adj/adv	ให้ดี/อย่างตั้งใจ
好笑	hǎoxiào	adj	ตลก/น่าขำ
合格	hégé	adj	ผ่านเกณฑ์/ได้มาตรฐาน
盒子	hézi	n	กล่อง
红包	hóngbāo	n	ซองแดง/อั่งเปา
厚	hòu	adj	หนา
后悔	hòuhuǐ	v	เสียใจภายหลัง(ในสิ่งที่เราทำไปแล้ว)
坏处	huàichù	n	ข้อเสีย/โทษ
怀疑	huáiyí	v	สงสัย
话剧	huàjù	n	ละครเวที
环保	huánbǎo	n/adj	รักษาสิ่งแวดล้อม
换乘	huànchéng	v	ต่อรถ/เปลี่ยนสาย
回复	huífù	v	ตอบกลับ
回信	huíxìn	v/n	ตอบจดหมาย
回忆	huíyì	v	ระลึก/ความทรงจำ
会员	huìyuán	n	สมาชิก
互联网	hùliánwǎng	n	อินเทอร์เน็ต
活	huó	v/adj/n	มีชีวิต/สด/งาน
货	huò	n	สินค้า
火	huǒ	n/adj	ไฟ/โด่งดัง/โกรธ
获得	huòdé	v	ได้รับ/บรรลุ
活动	huódòng	v/n	กิจกรรม/เคลื่อนไหว
获奖	huòjiǎng	v	ได้รับรางวัล
活泼	huópō	adj	ร่าเริง/กระตือรือร้น
获取	huòqǔ	v	ได้รับ/หาได้
忽然	hūrán	adv	ทันใด/ฉับพลัน
护士	hùshi	n	พยาบาล
互相	hùxiāng	adv	ซึ่งกันและกัน
既	jì	adv/conj	ทั้ง...และ.../ในเมื่อ
寄	jì	v	ส่ง (ไปรษณีย์)
假	jiǎ	adj	ปลอม/เท็จ
加班	jiābān	v	ทำงานล่วงเวลา
价格	jiàgé	n	ราคา
家具	jiājù	n	เฟอร์นิเจอร์
加快	jiākuài	v	เร่ง/เพิ่มความเร็ว
减	jiǎn	v	ลด
降	jiàng	v	ลดลง
奖	jiǎng	n/v	รางวัล/ให้รางวัล
江	jiāng	n	แม่น้ำ
将	jiāng	prep/adv	จะ/นำ...ไป
降低	jiàngdī	v	ลด/ทำให้ต่ำลง
降价	jiàngjià	v	ลดราคา
奖金	jiǎngjīn	n	โบนัส/เงินรางวัล
将来	jiānglái	n	อนาคต
降落	jiàngluò	v	ลงจอด
降温	jiàngwēn	v	อุณหภูมิลดลง
奖学金	jiǎngxuéjīn	n	ทุนการศึกษา
将要	jiāngyào	adv	กำลังจะ
减轻	jiǎnqīng	v	บรรเทา/ลดความหนัก
减少	jiǎnshǎo	v	ลดลง
健身	jiànshēn	v	ออกกำลังกาย
健身房	jiànshēnfáng	n	ฟิตเนส/ห้องออกกำลังกาย
建议	jiànyì	v/n	แนะนำ/ข้อเสนอแนะ
交	jiāo	v/n	ส่ง/จ่าย/มอบ
骄傲	jiāo'ào	adj/n	ภาคภูมิใจ/หยิ่ง
交警	jiāojǐng	n	ตำรวจจราจร
教练	jiàoliàn	n	โค้ช
交流	jiāoliú	v	แลกเปลี่ยน/สื่อสาร
郊区	jiāoqū	n	ชานเมือง
教师	jiàoshī	n	ครู/อาจารย์
教授	jiàoshòu	n	ศาสตราจารย์
交通	jiāotōng	n	การจราจร
教学	jiàoxué	n	การสอน
教育	jiàoyù	n/v	การศึกษา
叫作	jiàozuò	v	เรียกว่า
价钱	jiàqián	n	ราคา
加强	jiāqiáng	v	เสริมสร้าง/เพิ่ม
假日	jiàrì	n	วันหยุด
加入	jiārù	v	เข้าร่วม
加上	jiāshàng	conj	บวกกับ/เพิ่มเติม
家庭	jiātíng	n	ครอบครัว
家乡	jiāxiāng	n	บ้านเกิด
加油	jiāyóu	v	เติมน้ำมัน/สู้ๆ
加油站	jiāyóuzhàn	n	ปั้มน้ำมัน
家长	jiāzhǎng	n	ผู้ปกครอง
基本	jīběn	adj/adv	พื้นฐาน/โดยหลัก
基本上	jīběnshàng	adv	โดยพื้นฐาน/โดยทั่วไป
基础	jīchǔ	n	พื้นฐาน/รากฐาน
激动	jīdòng	adj/v	ตื่นเต้น
街道	jiēdào	n	ถนน / ถนนในชุมชน
结果	jiéguǒ	n/conj	ผลลัพธ์/สุดท้ายแล้ว
节假日	jiéjiàrì	n	วันหยุดเทศกาล
解释	jiěshì	v	อธิบาย
接受	jiēshòu	v	ยอมรับ
节约	jiéyuē	v	ประหยัด
结账	jiézhàng	v	ชำระเงิน/เช็กบิล
接着	jiēzhe	v/adv	ต่อจากนั้น
计划	jìhuà	n/v	แผน/วางแผน
积极	jījí	adj	กระตือรือร้น/เชิงบวก
积累	jīlěi	v	สะสม
仅	jǐn	adv	เพียง/แค่
精彩	jīngcǎi	adj	ยอดเยี่ยม/น่าตื่นตา
警察	jǐngchá	n	ตำรวจ
景点	jǐngdiǎn	n	สถานที่ท่องเที่ยว
经济	jīngjì	n/adj	เศรษฐกิจ/การประหยัด
京剧	jīngjù	n	งิ้วปักกิ่ง
经历	jīnglì	v/n	ประสบการณ์
景区	jǐngqū	n	เขตท่องเที่ยว
竟然	jìngrán	adv	กลับ.., คาดไม่ถึงว่า..
景色	jǐngsè	n	ทัศนียภาพ/ทิวทัศน์
尽管	jǐnguǎn	adv/conj	แม้ว่า/ถึงแม้
经验	jīngyàn	n	ประสบการณ์
竞争	jìngzhēng	v	แข่งขัน
镜子	jìngzi	n	กระจก
今后	jīnhòu	n	ต่อจากนี้/ไปอนาคต
仅仅	jǐnjǐn	adv	เพียงแค่
进入	jìnrù	v	เข้า/เข้าสู่
进行	jìnxíng	v	ดำเนินการ
紧张	jǐnzhāng	adj	เครียด/ตึงเครียด
禁止	jìnzhǐ	v	ห้าม
既然	jìrán	conj	ในเมื่อ/เมื่อเป็นเช่นนั้น
及时	jíshí	adj/adv	ทันเวลา
即使	jíshǐ	conj	แม้แต่/ถึงแม้ว่า
技术	jìshù	n	เทคโนโลยี/ทักษะ
究竟	jiūjìng	adv/n	กันแน่/แท้จริง
就是	jiùshì	part/adv/conj	ก็คือ/นั่นเอง
继续	jìxù	v	ดำเนินต่อ
记者	jìzhě	n	นักข่าว
聚	jù	v	รวมกัน
举	jǔ	v	ยก
举办	jǔbàn	v	จัดงาน
聚餐	jùcān	v	กินข้าวร่วมกัน
聚会	jùhuì	v/n	รวมตัว/งานสังสรรค์
拒绝	jùjué	v	ปฏิเสธ
距离	jùlí	v/n	ระยะห่าง/ห่างจาก
举例	jǔlì	v	ยกตัวอย่าง
举行	jǔxíng	v	จัดงาน/จัดพิธี
剧院	jùyuàn	n	โรงละคร
开玩笑	kāi wánxiào	expr	ล้อเล่น/พูดเล่น
看法	kànfǎ	n	ความคิดเห็น
烤	kǎo	v	ปิ้ง/อบ
考虑	kǎolǜ	v	พิจารณา
考生	kǎoshēng	n	ผู้สอบ
咳	ké	v	ไอ
克	kè	mw	กรัม
棵	kē	mw	ต้น (ลักษณนามพืชหรือต้นไม้)
课程	kèchéng	n	หลักสูตร/รายวิชา
科技	kējì	n	วิทยาศาสตร์และเทคโนโลยี
肯定	kěndìng	v/adj/adv	ยืนยัน/แน่นอน
客气	kèqi	adj/v	สุภาพ/เกรงใจ
咳嗽	késou	v	ไอ
课堂	kètáng	n	ห้องเรียน
客厅	kètīng	n	ห้องนั่งเล่น
可惜	kěxī	adj	น่าเสียดาย
科学	kēxué	n/adj	วิทยาศาสตร์
空	kòng	v/adj/n	ว่าง/มีเวลาว่าง/ช่องว่าง
空	kōng	adj/adv	ว่าง/เปล่า
恐怕	kǒngpà	v/adv	กลัว/คงจะ
空气	kōngqì	n	อากาศ
口语	kǒuyǔ	n	ภาษาพูด
苦	kǔ	adj	ขม/ลำบาก
快餐	kuàicān	n	อาหารจานด่วน
快递	kuàidì	n	พัสดุด่วน
快速	kuàisù	adj	รวดเร็ว
困	kùn	adj/v	ง่วงนอน
困难	kùnnan	adj/n	ยาก/ความยากลำบาก
辣	là	adj	เผ็ด
拉	lā	v	ดึง/ลาก
来不及	láibují	v	ไม่ทัน
来得及	láidejí	v	ทัน
垃圾	lājī	n	ขยะ
懒	lǎn	adj	ขี้เกียจ
浪费	làngfèi	v	สิ้นเปลือง/ฟุ่มเฟือย
浪漫	làngmàn	adj	โรแมนติก
老虎	lǎohǔ	n	เสือ
老家	lǎojiā	n	บ้านเกิด
老年	lǎonián	n	วัยชรา
老是	lǎoshì	adv	เสมอ/ตลอดเวลา
冷静	lěngjìng	adj	สงบ/ใจเย็น
俩	liǎ	num+mw	สอง (ลำลอง)
连	lián	prep/v/adv	แม้แต่
凉	liáng	adj	เย็น
量	liáng	v	วัด
亮	liàng	adj/v	สว่าง
两	liǎng	mw	สอง (ทั้งสอง)
联系	liánxì	v	ติดต่อ
列	liè	v/mw	ระบุ/แถว
理发	lǐfà	v	ตัดผม
厉害	lìhai	adj	เก่งมาก/รุนแรง
理解	lǐjiě	v	เข้าใจ
礼貌	lǐmào	n/adj	มารยาท
另	lìng	pron/adv	อื่น
零下	líng xià	expr	ต่ำกว่าศูนย์
零花钱	línghuāqián	n	เงินค่าขนม/เงินใช้จ่ายส่วนตัว
零钱	língqián	n	เงินทอน/เศษเงิน/เงินย่อย
零食	língshí	n	ของกินเล่น
另外	lìngwài	pron/adv/conj	อีก/นอกจากนี้/ส่วนอีก...
力气	lìqi	n	แรง/กำลัง
例如	lìrú	v	เช่น/ตัวอย่างเช่น
留	liú	v	อยู่ต่อ/ทิ้งไว้
流	liú	v	ไหล
流利	liúlì	adj	คล่องแคล่ว
留下	liúxia	v	ทิ้งไว้/อยู่ต่อ
流行	liúxíng	v	เป็นที่นิยม/แพร่หลาย
理想	lǐxiǎng	n/adj	อุดมคติ/ในฝัน
例子	lìzi	n	ตัวอย่าง
乱	luàn	adj/adv	วุ่นวาย
旅馆	lǚguǎn	n	โรงแรม/ที่พัก
路过	lùguò	v	ผ่านไป
旅客	lǚkè	n	นักเดินทาง/ผู้โดยสาร
落	luò	v	ตก/ร่วง
律师	lǜshī	n	ทนายความ
旅行	lǚxíng	v	เดินทาง
麻烦	máfan	adj/v/n	ยุ่งยาก/รบกวน
满	mǎn	adj/v	เต็ม
馒头	mántou	n	ขนมปังนึ่งจีน
毛巾	máojīn	n	ผ้าขนหนู
毛衣	máoyī	n	เสื้อกันหนาวถัก
帽子	màozi	n	หมวก
美	měi	adj	สวยงาม
美好	měihǎo	adj	งดงาม/ดีงาม
美景	měijǐng	n	ทิวทัศน์งดงาม
美丽	měilì	adj	สวยงาม
美食	měishí	n	อาหารอร่อย
梦	mèng	n/v	ความฝัน/ฝัน
梦想	mèngxiǎng	v/n	ฝันถึง/ความฝัน
面对	miànduì	v	เผชิญหน้า
免费	miǎnfèi	v	ฟรี/ไม่เสียค่าใช้จ่าย
面试	miànshì	v	สัมภาษณ์งาน
秒	miǎo	mw	วินาที
密码	mìmǎ	n	รหัสผ่าน
民族	mínzú	n	ชาติพันธุ์/เผ่า
末	mò	n	ปลาย/สิ้น
目标	mùbiāo	n	เป้าหมาย
目的	mùdì	n	จุดประสงค์
目的地	mùdìdì	n	จุดหมายปลายทาง
母女	mǔnǚ	n	แม่และลูกสาว
目前	mùqián	n	ปัจจุบัน
母亲	mǔqīn	n	แม่(ทางการ)
母子	mǔzǐ	n	แม่และลูกชาย
耐心	nàixīn	adj/n	อดทน/ความอดทน
南部	nánbù	n	ภาคใต้
难道	nándào	adv	หรือว่า...
男士	nánshì	n	สุภาพบุรุษ
难受	nánshòu	adj	ไม่สบาย/ทุกข์ใจ
难忘	nánwàng	v	ลืมไม่ลง
男性	nánxìng	n	เพศชาย
内	nèi	n	ภายใน/ข้างใน
内容	nèiróng	n	เนื้อหา
内心	nèixīn	n	จิตใจ/ภายในใจ
能否	néngfǒu	expr	สามารถหรือไม่
能够	nénggòu	v	สามารถ
能力	nénglì	n	ความสามารถ
嗯	ǹg	interj	อืม/อือ
年底	niándǐ	n	ปลายปี
年龄	niánlíng	n	อายุ
弄	nòng	v	ทำ/จัดการ
农村	nóngcūn	n	ชนบท
暖和	nuǎnhuo	adj/v	อบอุ่น
女性	nǚxìng	n	เพศหญิง
偶尔	ǒu'ěr	adv/adj	บางครั้งเป็นครั้งคราว
排	pái	v/n/mw	เรียง/แถว
牌	pái	n	ป้าย/แบรนด์/ไพ่
拍	pāi	v/n	ตบ/ถ่าย(รูปหรือวิดีโอ)
排队	páiduì	v	ต่อแถว
排球	páiqiú	n	วอลเลย์บอล
牌子	páizi	n	แบรนด์/ป้าย
判断	pànduàn	v	ตัดสิน/วิเคราะห์
陪	péi	v	ร่วมด้วย/คอยเป็นเพื่อน
片	piàn	n/mw	แผ่น/ชิ้น
篇	piān	n/mw	บท/เรื่อง
皮肤	pífū	n	ผิวหนัง
平常	píngcháng	adj/n	ธรรมดา/ปกติ
乒乓球	pīngpāngqiú	n	ปิงปอง
批评	pīpíng	v	วิจารณ์/ตำหนิ
脾气	píqi	n	นิสัย/อารมณ์
皮鞋	píxié	n	รองเท้าหนัง
破	pò	v/adj	แตก/ชำรุด
普遍	pǔbiàn	adj	ทั่วไป/แพร่หลาย
葡萄	pútao	n	องุ่น
葡萄酒	pútaojiǔ	n	ไวน์องุ่น
普通	pǔtōng	adj	ธรรมดา/ทั่วไป
普通话	pǔtōnghuà	n	ภาษาจีนกลาง
气	qì	n/v	อากาศ/ลม/โกรธ
期	qī	mw	ช่วง/ฉบับ
前方	qiánfāng	n	ด้านหน้า
强	qiáng	adj	แข็งแกร่ง/เก่ง
前后	qiánhòu	n	ก่อนหลัง/ระหว่าง/ประมาณ
千克	qiānkè	mw	กิโลกรัม
千万	qiānwàn	adv	ต้อง.., อย่า..เด็ดขาด
签证	qiānzhèng	v/n	ขอวีซ่า/วีซ่า
桥	qiáo	n	สะพาน
巧	qiǎo	adj	ฉลาด/บังเอิญ
敲	qiāo	v	เคาะ
巧克力	qiǎokèlì	n	ช็อกโกแลต
其次	qícì	pron	ต่อมา/รองลงมา
起到	qǐdào	v	ทำหน้าที่/ส่งผล
气候	qìhòu	n	ภูมิอากาศ
期末	qīmò	n	ปลายภาคเรียน
琴	qín	n	เครื่องดนตรีสาย
轻	qīng	adj	เบา
情况	qíngkuàng	n	สถานการณ์/สภาพ
青年	qīngnián	n	เยาวชน
轻松	qīngsōng	adj	ผ่อนคลาย/ง่าย
庆祝	qìngzhù	v	ฉลอง
亲戚	qīnqi	n	ญาติ
