# HSK 1 sentence stories. Max 8 sentences per card.
# Target: 300/300 unique HSK1 words.
# @title Chinese|Thai · sentence lines Chinese|Thai

@level 1
@card
@title 喝茶的下午|ตอนบ่ายกับชา
中午我吃午饭。|เที่ยงฉันกินข้าวเที่ยง
下午五点下课。|บ่ายห้าโมงเลิกเรียน
晚上我回家。|เย็นฉันกลับบ้าน
今天很忙。|วันนี้ยุ่งมาก
@card
@title 朋友们来家|วันเพื่อนๆ มาบ้าน
今天朋友们来我家。|วันนี้เพื่อนๆ มาบ้านฉัน
哥哥开门。|พี่ชายเปิดประตู
姐姐做饭。|พี่สาวทำอาหาร
弟弟和妹妹很高兴。|น้องชายกับน้องสาวดีใจมาก
大家一起吃饭。|ทุกคนกินข้าวด้วยกัน
我们说：“再见！”|พวกเราพูด “ลาก่อน!”
大家吃得很好。|ทุกคนกินกันอย่างเอร็ดอร่อย
朋友们都很高兴。|เพื่อนๆ ทุกคนดีใจมาก
@card
@title 买东西|ออกไปซื้อของ
我去超市买东西。|ฉันไปซูเปอร์ซื้อของ
面包很便宜。|ขนมปังถูกมาก
水果也不贵。|ผลไม้ก็ไม่แพง
我买了包子和鸡蛋。|ฉันซื้อซาลาเปากับไข่
一共多少钱？|ทั้งหมดกี่บาท
一百元。|หนึ่งร้อยหยวน
东西很好。|ของดีมาก
我回家了。|ฉันกลับบ้านแล้ว
@card
@title 下雨的天|วันที่ฝนโปรยปราย
今天下雨了。|วันนี้ฝนตก
外面很冷。|ข้างนอกหนาวมาก
我穿新衣服。|ฉันใส่เสื้อผ้าใหม่
不要出去玩。|อย่าออกไปเล่น
在房间里休息。|พักอยู่ในห้อง
没关系，下雨也好玩。|ไม่เป็นไร ฝนตกก็สนุก
我不出去了。|ฉันไม่ออกไปแล้ว
在家很好。|อยู่บ้านก็ดี
@card
@title 坐出租车|นั่งแท็กซี่ไปด้วยกัน
请问，电影院在哪里？|ขอถาม โรงหนังอยู่ไหน
往那边走。|เดินไปทางนั้น
我坐出租车去。|ฉันนั่งแท็กซี่ไป
电影很好看。|หนังสนุกมาก
回家后我睡觉。|กลับบ้านแล้วนอน
昨天也很晚。|เมื่อวานก็ดึกมาก
电影很好看。|หนังสนุกมาก
我很高兴。|ฉันดีใจมาก
@card
@title 打电话给医生|โทรหาคุณหมอ
妹妹生病了。|น้องสาวป่วยแล้ว
我打电话给医生。|ฉันโทรหาหมอ
医生说：“来医院吧。”|หมอบอก “มาโรงพยาบาลสิ”
她去看病。|เธอไปรักษา
现在好一点儿了。|ตอนนี้ดีขึ้นนิดหน่อยแล้ว
没事了。|ไม่เป็นไรแล้ว
她喝了很多水。|เธอดื่มน้ำเยอะมาก
我们都很高兴。|พวกเราทุกคนดีใจมาก
@card
@title 学汉字|ตั้งใจเรียนอักษรจีน
老师教我们写汉字。|ครูสอนพวกเราเขียนตัวอักษรจีน
我写了十个字。|ฉันเขียนสิบตัว
这本书很好。|หนังสือเล่มนี้ดีมาก
我去书店买两本。|ฉันไปร้านหนังสือซื้อสองเล่ม
同学问：“多少钱？”|เพื่อนร่วมชั้นถาม “เท่าไหร่?”
说：“二十块。”|พูดว่า “ยี่สิบหยวน”
我很喜欢汉字。|ฉันชอบอักษรจีนมาก
明天再学。|พรุ่งนี้เรียนต่อ
@card
@title 在大学|ชีวิตในมหาวิทยาลัย
我是大学生。|ฉันเป็นนักศึกษา
大学在中国。|มหาวิทยาลัยอยู่ที่จีน
我学中文。|ฉันเรียนภาษาจีน
中午在饭店吃饭。|เที่ยงกินข้าวที่ร้านอาหาร
饭很好吃。|ข้าวอร่อยมาก
我觉得很高兴。|ฉันรู้สึกดีใจมาก
学习和朋友都很好。|เรียนกับเพื่อนก็ดี
我爱大学。|ฉันรักมหาวิทยาลัย
@card
@title 开车去机场|ขับรถไปส่งที่สนามบิน
爸爸开车去机场。|พ่อขับรถไปสนามบิน
我们坐飞机。|พวกเรานั่งเครื่องบิน
飞机很大。|เครื่องบินใหญ่มาก
半个小时到了。|ครึ่งชั่วโมงถึงแล้ว
小姐说：“请给钱。”|คุณผู้หญิงพูด “กรุณาจ่ายเงิน”
五十一元。|ห้าสิบเอ็ดหยวน
我们到了。|พวกเราถึงแล้ว
今天很好。|วันนี้เป็นวันที่ดี
@card
@title 小猫和小狗|แมวน้อยกับหมาน้อย
家里有猫和狗。|บ้านมีแมวกับหมา
猫喜欢睡觉。|แมวชอบนอน
狗喜欢玩。|หมาชอบเล่น
它们都很好玩儿。|พวกมันสนุกมาก
我给它们吃东西。|ฉันให้อาหารพวกมัน
小朋友也很爱它们。|เด็กเล็กก็รักพวกมันมาก
它们很高兴。|พวกมันดีใจมาก
我很爱它们。|ฉันรักพวกมันมาก
@card
@title 晚上做什么|เย็นนี้ทำอะไรดีนะ
晚上我看电视。|เย็นฉันดูทีวี
有时候听听歌。|บางทีฟังเพลง
妈妈在做饭。|แม่กำลังทำอาหาร
晚饭很好吃。|ข้าวเย็นอร่อยมาก
吃完我休息一下。|กินเสร็จพักสักครู่
九点半睡觉。|เก้าโมงครึ่งนอน
今天很开心。|วันนี้มีความสุขมาก
明天见。|พบกันพรุ่งนี้
@card
@title 男人女人|เรื่องผู้ชายกับผู้หญิง
那个男人是谁？|ผู้ชายคนนั้นคือใคร
他是我的男朋友。|เขาเป็นแฟนผู้ชายของฉัน
那位女士是谁？|คุณผู้หญิงท่านนั้นคือใคร
她是我的女朋友。|เธอเป็นแฟนผู้หญิงของฉัน
她们很漂亮。|พวกเธอสวยมาก
我们认识他们。|พวกเรารู้จักพวกเขา
我们都很高兴。|พวกเราทุกคนดีใจมาก
再见！|ลาก่อน!
@card
@title 问问题|มีคำถามอยากถาม
喂，请问有问题吗？|ฮัลโหล ขอถาม มีปัญหาไหม
有的人不会说。|บางคนพูดไม่ได้
有些字太难。|บางตัวอักษรยากเกินไป
你怎么学？|คุณเรียนยังไง
怎么样才能会？|อย่างไรจึงจะได้
再学一点儿吧。|เรียนอีกนิดเถอะ
我懂了。|ฉันเข้าใจแล้ว
谢谢老师。|ขอบคุณครู
@card
@title 一年的日子|วันเวลาในรอบปี
今年我十八岁。|ปีนี้ฉันสิบแปดปี
去年我十七岁。|ปีที่แล้วฉันสิบเจ็ด
明年我上大学。|ปีหน้าฉันเข้ามหาวิทยาลัย
一月很冷。|เดือนมกราคมหนาวมาก
七八月很热。|กรกฎาคม-สิงหาคมร้อนมาก
白天很长。|กลางวันยาวมาก
日子很快。|วันเวลาผ่านไปเร็วมาก
我很高兴。|ฉันดีใจมาก
@card
@title 哪里去|วันนี้จะไปไหนดี
哪儿有店？|ร้านอยู่ไหน
前面有个饭店。|ข้างหน้ามีร้านอาหาร
后边是商店。|ข้างหลังคือร้านค้า
边上有椅子。|ข้างๆ มีเก้าอี้
桌子上有杯子。|บนโต๊ะมีแก้ว
里边可以坐。|ข้างในนั่งได้
我们坐下喝茶。|พวกเรานั่งดื่มชา
这里很好。|ที่นี่ดีมาก
@card
@title 找东西|กำลังหาของอยู่
我找我的书。|ฉันหาหนังสือของฉัน
它在这儿吗？|มันอยู่ที่นี่ไหม
不在这里。|ไม่อยู่ที่นี่
在那边那个房间。|อยู่ห้องอันนั้นทางนั้น
哪些书是你的？|หนังสือพวกไหนเป็นของเธอ
这些才是我的。|พวกนี้ถึงเป็นของฉัน
找到了！|เจอแล้ว!
太好了。|ดีมากเลย
@card
@title 中学小学|ชีวิตประถมกับมัธยม
弟弟是小学生。|น้องชายเป็นนักเรียนประถม
我是中学生。|ฉันเป็นนักเรียนมัธยม
小学离我家很近。|ประถมอยู่ใกล้บ้านฉัน
中学有点远。|มัธยมไกลหน่อย
我们都喜欢上学。|พวกเราชอบไปโรงเรียน
早上七点上课。|เช้าเจ็ดโมงเข้าเรียน
我们一起回家。|พวกเรากลับบ้านกันด้วยกัน
今天很好。|วันนี้เป็นวันที่ดี
@card
@title 说话唱歌|คุยกันร้องเพลงกัน
我想说话。|ฉันอยากพูดคุย
你会唱歌吗？|คุณร้องเพลงเป็นไหม
歌很好听。|เพลงเพราะมาก
我们一起唱歌吧。|พวกเราร้องเพลงด้วยกันเถอะ
真好玩儿！|สนุกจริงๆ!
现在很忙呢。|ตอนนี้อยู่ยุ่งนะ
大家都很高兴。|ทุกคนดีใจมาก
我们明天再唱。|พวกเราร้องใหม่พรุ่งนี้
@card
@title 看见听见|ได้เห็นและได้ยิน
我看见飞机了。|ฉันเห็นเครื่องบินแล้ว
你听见了吗？|คุณได้ยินไหม
火车也来了。|รถไฟก็มาแล้ว
前面有很多人。|ข้างหน้ามีคนเยอะ
我太高兴了。|ฉันดีใจเกินไปแล้ว
对不起，我来晚了。|ขอโทษ ฉันมาสาย
对不起！|ขอโทษ!
没关系。|ไม่เป็นไร
@card
@title 公司工作|วันทำงานที่บริษัท
爸爸在公司工作。|พ่อทำงานที่บริษัท
上午九点上班。|เช้าเก้าโมงไปทำงาน
下午五点下班。|บ่ายห้าโมงเลิกงาน
他会开车。|เขาขับรถเป็น
今天有一点儿忙。|วันนี้อย่างมากหน่อย
先生很忙。|คุณสุภาพบุรุษยุ่งมาก
下班了，我回家。|เลิกงานแล้ว ฉันกลับบ้าน
今天很忙。|วันนียุ่งมาก
@card
@title 多少和数字|เรียนรู้เรื่องตัวเลข
一二三四五六七八九十。|หนึ่งถึงสิบ
零和半也是数。|ศูนย์กับครึ่งก็เป็นจำนวน
两个人来了。|สองคนมาแล้ว
三百块钱。|สามร้อยหยวน
一千元太大了。|หนึ่งพันหยวนมากไป
少一点儿吧。|น้อยหน่อยเถอะ
我知道了。|ฉันรู้แล้ว
这些很好。|พวกนี้ดีมาก
@card
@title 女儿儿子|เรื่องลูกสาวกับลูกชาย
他家有儿子和女儿。|บ้านเขามีลูกชายกับลูกสาว
儿子三岁。|ลูกชายสามขวบ
女儿五岁。|ลูกสาวห้าขวบ
孩子们很可爱。|เด็กๆ น่ารักมาก
家人都很爱他们。|คนในครอบครัวรักพวกเขามาก
开饭吧。|เปิดกินข้าวเถอะ
孩子们很高兴。|เด็กๆ ดีใจมาก
我们吃饭吧。|พวกเรากินข้าวกันเถอะ
@card
@title 天气冷热|อากาศหนาวหรือร้อน
今天太热了。|วันนี้ร้อนเกินไป
昨天很冷。|เมื่อวานหนาวมาก
外面在下雪。|ข้างนอกหิมะตก
下课后不要出去。|เลิกเรียนแล้วอย่าออกไป
可以在里边写字。|สามารถเขียนตัวอักษรข้างในได้
一下写完了。|เขียนเสร็จในครู่เดียว
我在家写字。|ฉันเขียนตัวอักษรที่บ้าน
今天很好。|วันนี้เป็นวันที่ดี
@card
@title 住在中国|ใช้ชีวิตอยู่ที่จีน
我住在中国。|ฉันอาศัยอยู่ในจีน
这边很好。|แถวนี้ดีมาก
那边也很漂亮。|แถวนั้นก็สวยมาก
那里有大学。|ที่นั่นมีมหาวิทยาลัย
哪儿的菜好吃？|อาหารที่ไหนอร่อย
这儿的面条儿好吃。|ก๋วยเตี๋ยวที่นี่อร่อย
我很喜欢这里。|ฉันชอบที่นี่มาก
中国很好。|จีนดีมาก
@card
@title 时间分钟|เรื่องเวลาและนาที
现在几点了？|ตอนนี้กี่โมงแล้ว
三点十分。|สามโมงสิบนาที
一小时有六十分钟。|หนึ่งชั่วโมงมีหกสิบนาที
这个时候很晚。|เวลานี้ดึกมาก
时间不多了。|เวลาเหลือน้อยแล้ว
早点休息吧。|พักแต่เช้าๆ เถอะ
我去睡觉。|ฉันไปนอน
明天见。|พบกันพรุ่งนี้
@card
@title 一件衣服|เสื้อผ้าชิ้นโปรด
这件衣服好看吗？|เสื้อผ้าชิ้นนี้สวยไหม
新衣服很漂亮。|เสื้อผ้าใหม่สวยมาก
多少钱一件？|ชิ้นละเท่าไหร่
五十块。|ห้าสิบหยวน
太贵了吧。|แพงไปแล้วนะ
便宜一点儿。|ถูกหน่อยสิ
我买了。|ฉันซื้อแล้ว
很高兴。|ดีใจมาก
@card
@title 读读书|วันอ่านหนังสือ
我喜欢读书。|ฉันชอบอ่านหนังสือ
每天读一点儿。|อ่านนิดหน่อยทุกวัน
有的书很有意思。|บางเล่มน่าสนใจมาก
有些很难。|บางเล่มยาก
我会读汉字了。|ฉันอ่านอักษรจีนได้แล้ว
知道很多事。|รู้เรื่องเยอะมาก
读书很好。|อ่านหนังสือดีมาก
我很喜欢。|ฉันชอบมาก
@card
@title 哪个哪个|อันไหนกันแน่
哪个是你的杯子？|อันไหนเป็นแก้วของคุณ
这个。|อันนี้
那个人是男的吗？|คนนั้นเป็นผู้ชายไหม
不是，是女同学。|ไม่ใช่ เป็นเพื่อนร่วมชั้นหญิง
你们叫什么？|พวกคุณชื่ออะไร
您贵姓？|ท่านนามสกุลอะไร
对不起。|ขอโทษ
没关系。|ไม่เป็นไร
@card
@title 国和口|ประเทศกับคนในบ้าน
你是哪国人？|คุณเป็นคนประเทศไหน
中国人。|คนจีน
他家有几口人？|บ้านเขามีกี่คน
四口人。|สี่คน
号是多少？|หมายเลขเท่าไหร่
一〇八号。|หมายเลขหนึ่งศูนย์แปด
我家很好。|บ้านฉันดีมาก
认识你很高兴。|ดีใจที่ได้รู้จักคุณ
@card
@title 前边后边|ข้างหน้าและข้างหลัง
前边有车。|ข้างหน้ามีรถ
后边有人。|ข้างหลังมีคน
外边很热。|ข้างนอกร้อนมาก
请开一下门。|กรุณาเปิดประตูหน่อย
菜来了。|อาหารมาแล้ว
大家快吃吧。|ทุกคนรีบกินเถอะ
我们坐下吧。|พวกเรานั่งกันเถอะ
菜很好吃。|อาหารอร่อยมาก
@card
@title 星期几|วันนี้วันอะไรนะ
今天星期几？|วันนี้วันอะไร
今天星期天。|วันนี้วันอาทิตย์
明天是星期一。|พรุ่งนี้วันจันทร์
星期日我们去玩。|วันอาทิตย์พวกเราไปเล่น
做完作业再去。|ทำการบ้านเสร็จแล้วค่อยไป
对，我也去。|ถูก ฉันก็ไป
我们都很高兴。|พวกเราทุกคนดีใจมาก
玩得很开心。|เล่นอย่างมีความสุข
@card
@title 一半一些|ครึ่งหนึ่งและบางส่วน
苹果一半给你。|แอปเปิลครึ่งหนึ่งให้คุณ
一些给弟弟。|บางส่วนให้น้องชาย
一点儿水。|น้ำนิดหน่อย
再来一下。|มาอีกหน่อย
那些不要。|พวกนั้นอย่าเอา
这个真好。|อันนี้ดีจริง
谢谢你。|ขอบคุณนะ
不客气。|ไม่เป็นไร
@card
@title 正在做什么|กำลังวุ่นทำอะไรอยู่
我正在上课。|ฉันกำลังเรียนอยู่
他正在工作。|เขากำลังทำงาน
她正在唱歌。|เธอกำลังร้องเพลง
它们正在睡觉。|พวกมันกำลังนอน
我们能看见他们。|พวกเราสามารถเห็นพวกเขา
我们也听见了。|พวกเราก็ได้ยินแล้ว
他们很忙。|พวกเขายุ่งมาก
我也要学习。|ฉันก็ต้องเรียนด้วย
@card
@title 卖和买|เรื่องซื้อกับขาย
这个店卖什么？|ร้านนี้ขายอะไร
卖衣服和书。|ขายเสื้อผ้ากับหนังสือ
我买一件。|ฉันซื้อหนึ่งชิ้น
少买一点儿。|ซื้อน้อยหน่อย
钱在哪里？|เงินอยู่ไหน
在我这里。|อยู่ที่ฉันนี่
我买了衣服。|ฉันซื้อเสื้อผ้าแล้ว
回家了。|กลับบ้านแล้ว
@card
@title 没有没有|คราวนี้ไม่มีจริงๆ
我没有时间。|ฉันไม่มีเวลา
他也没来。|เขาก็ไม่มา
没关系！|ไม่เป็นไร!
我们再打电话。|พวกเราโทรอีกครั้ง
什么时候见？|เมื่อไหร่พบกัน
明天见。|พบกันพรุ่งนี้
好的，明天见。|ได้ พบกันพรุ่งนี้
再见！|ลาก่อน!
@card
@title 最后一词|ประโยคปิดท้าย
弟弟病了，非常难受。|น้องชายป่วย อึดอัดมาก
今天是八月八日，第一天。|วันนี้วันที่แปดเดือนแปด เป็นวันที่หนึ่ง
这是我的电话。|นี่คือโทรศัพท์ของฉัน
这一年我要学汉字。|ปีนี้ฉันจะเรียนอักษรจีน
雨很大，我只想睡。|ฝนแรงมาก ฉันแค่อยากนอน
买些菜，还有一只猫。|ซื้อผักบ้าง และแมวอีกหนึ่งตัว

我看了电话。|ฉันดูโทรศัพท์แล้ว
今天很好。|วันนี้เป็นวันที่ดี
