Chinese	Pinyin	POS	Thai
听	tīng	v	ฟัง
听见	tīngjiàn	v	ได้ยิน
同学	tóngxué	n	เพื่อนร่วมชั้น
外	wài	n	ข้างนอก
外边	wàibian	n	ด้านนอก
玩	wán	v	เล่น
晚	wǎn	adj	ดึก/สาย
晚饭	wǎnfàn	n	อาหารเย็น
晚上	wǎnshang	n	ตอนเย็น/กลางคืน
喂	wèi	interj	ฮัลโหล
问	wèn	v	ถาม
问题	wèntí	n	คำถาม/ปัญหา
我	wǒ	pron	ฉัน
我们	wǒmen	pron	พวกเรา
五	wǔ	num	ห้า
午饭	wǔfàn	n	อาหารกลางวัน
下	xià	n/v/mw	ล่าง/ลง
下雨	xià yǔ	expr	ฝนตก
下班	xiàbān	v	เลิกงาน
下课	xiàkè	v	เลิกเรียน
想	xiǎng	v	คิด/ต้องการ
先生	xiānsheng	n	คุณผู้ชาย/ครู
现在	xiànzài	n	ตอนนี้
小	xiǎo	adj/prefix	เล็ก
小朋友	xiǎopéngyǒu	n	เด็กเล็ก
小时	xiǎoshí	n	ชั่วโมง
小学	xiǎoxué	n	โรงเรียนประถม
小学生	xiǎoxuéshēng	n	นักเรียนประถม
下午	xiàwǔ	n	บ่าย
写	xiě	v	เขียน
些	xiē	mw	บางส่วน/บ้าง
谢谢	xièxie	v	ขอบคุณ
喜欢	xǐhuan	v	ชอบ
新	xīn	adj	ใหม่
星期	xīngqī	n	สัปดาห์
星期日	xīngqīrì	n	วันอาทิตย์
星期天	xīngqītiān	n	วันอาทิตย์
休息	xiūxi	v	พักผ่อน
学	xué	v	เรียน
雪	xuě	n	หิมะ
学生	xuéshēng	n	นักเรียน
学习	xuéxí	v	เรียนรู้
学校	xuéxiào	n	โรงเรียน
要	yào	v	ต้องการ/จะ
也	yě	adv	ก็/ด้วย
一	yī	num	หนึ่ง
一半	yíbàn	num	ครึ่งหนึ่ง
一点儿	yìdiǎnr	num+mw	นิดหน่อย
衣服	yīfu	n	เสื้อผ้า
医生	yīshēng	n	หมอ
一下	yíxià	num+mw	สักครู่/ลอง
一些	yìxiē	num+mw	บางส่วน/จำนวนหนึ่ง
医院	yīyuàn	n	โรงพยาบาล
椅子	yǐzi	n	เก้าอี้
有	yǒu	v	มี
有的	yǒude	pron	บางคน,บางอัน   
有些	yǒuxiē	pron/adv	บางส่วน / ค่อนข้าง
有一点儿	yǒuyìdiǎnr	adv	นิดหน่อย/เล็กน้อย
雨	yǔ	n	ฝน
元	yuán	mw	หยวน
月	yuè	n	เดือน
再	zài	adv	อีกครั้ง
在	zài	v/prep/adv	อยู่ที่/กำลัง
再见	zàijiàn	v	ลาก่อน
早	zǎo	adj	เช้า
早饭	zǎofàn	n	อาหารเช้า
早上	zǎoshang	n	ตอนเช้า
怎么	zěnme	pron	อย่างไร
怎么样	zěnmeyàng	pron	เป็นอย่างไร
找	zhǎo	v	หา
这	zhè	pron	นี้
这边	zhèbiān	pron	ที่นี่/ข้างนี้
这个	zhège	pron	อันนี้
这里	zhèlǐ	pron	ที่นี่
真	zhēn	adv/adj	จริงๆ
正在	zhèngzài	adv	กำลัง
这儿	zhèr	pron	ที่นี่
这些	zhèxiē	pron	พวกนี้
只	zhī	mw	ตัว (สัตว์)
知道	zhīdào	v	รู้
中国	Zhōngguó	n	จีน
中文	Zhōngwén	n	ภาษาจีน
中午	zhōngwǔ	n	เที่ยงวัน
中学	zhōngxué	n	โรงเรียนมัธยม
中学生	zhōngxuéshēng	n	นักเรียนมัธยม
住	zhù	v	อาศัย/พัก
桌子	zhuōzi	n	โต๊ะ
字	zì	n	อักษร/ตัวหนังสือ
坐	zuò	v	นั่ง
做	zuò	v	ทำ
做饭	zuòfàn	expr	ทำอาหาร
昨天	zuótiān	n	เมื่อวาน
