Chinese	Pinyin	POS	Thai
不适	búshì	adj	รู้สึกไม่สบาย
不时	bùshí	adv/n	เป็นครั้งคราว
补贴	bǔtiē	v/n	เงินอุดหนุน
部位	bùwèi	n	ชิ้นส่วน
补习	bǔxí	v	การสอน
不许	bùxǔ	v	ไม่อนุญาต
不宜	bùyí	v	ไม่เหมาะ
不已	bùyǐ	v	ไม่มีที่สิ้นสุด
布置	bùzhì	v	เค้าโครง
不止	bùzhǐ	v/adv	มากกว่า
不至于	búzhìyú	v	ไม่ถึงจุด
步骤	bùzhòu	n	ขั้นตอน
踩	cǎi	v	ก้าวต่อไป
猜测	cāicè	v	เดา
财产	cáichǎn	n	ทรัพย์สิน
财富	cáifù	n	ความมั่งคั่ง
采购	cǎigòu	v/n	การจัดซื้อจัดจ้าง
彩虹	cǎihóng	n	รุ้ง
才华	cáihuá	n	ความสามารถพิเศษ
采集	cǎijí	v	รวบรวม
采纳	cǎinà	v	นำมาใช้
才能	cáinéng	n	ความสามารถพิเศษ
彩票	cǎipiào	n	ลอตเตอรี
财务	cáiwù	n	การเงิน
财物	cáiwù	n	ทรัพย์สิน
材质	cáizhì	n	วัสดุ
仓库	cāngkù	n	คลังสินค้า
残疾	cánjí	n	ความพิการ
参展	cānzhǎn	v	นิทรรศการ
草原	cǎoyuán	n	ทุ่งหญ้า
侧	cè	n/v	ด้านข้าง
策划	cèhuà	v	การวางแผน
测量	cèliáng	v	วัด
策略	cèlüè	n	กลยุทธ์
层次	céngcì	n	ระดับ
层面	céngmiàn	n	ระดับ
叉	chā	n/v	ส้อม
拆除	chāichú	v	รื้อ
产出	chǎnchū	v	เอาท์พุท
产地	chǎndì	n	ต้นกำเนิด
肠	cháng	n	ลำไส้
场次	chǎngcì	n	จำนวนเซสชัน
场地	chǎngdì	n	สถานที่
长短	chángduǎn	n	ความยาว
场馆	chǎngguǎn	n	สถานที่
常规	chángguī	n/adj	ปกติ
场合	chǎnghé	n	โอกาส
厂家	chǎngjiā	n	ผู้ผลิต
场景	chǎngjǐng	n	ฉาก
场面	chǎngmiàn	n	ฉาก
常年	chángnián	adv/n	ตลอดทั้งปี
厂商	chǎngshāng	n	ผู้ผลิต
长寿	chángshòu	adj	อายุยืนยาว
畅通	chàngtōng	adj	เรียบ
常温	chángwēn	n	อุณหภูมิปกติ
畅销	chàngxiāo	v	ขายดีที่สุด
抄	chāo	v	คัดลอก
朝代	cháodài	n	ราชวงศ์
炒股	chǎogǔ	v	การซื้อขายหุ้น
吵架	chǎojià	v	ทะเลาะ
潮流	cháoliú	n	เทรนด์
潮湿	cháoshī	adj	ชื้น
嘲笑	cháoxiào	v	เยาะเย้ย
超越	chāoyuè	v	ก้าวข้าม
查询	cháxún	v	แบบสอบถาม
差异	chāyì	n	ความแตกต่าง
插座	chāzuò	n	ซ็อกเก็ต
撤回	chèhuí	v	ถอนออก
趁	chèn	prep	ใช้ประโยชน์จาก
成	chéng	mw	เข้าไป
乘2	chéng	v	คูณด้วย 2
盛	chéng	v	เจริญรุ่งเรือง
撑	chēng	v	สนับสนุน
承办	chéngbàn	v	ดำเนินการ
惩罚	chéngfá	v	การลงโทษ
称号	chēnghào	n	ชื่อเรื่อง
称呼	chēnghu	v/n	ชื่อ
成交	chéngjiāo	v	จัดการ
承诺	chéngnuò	v	ความมุ่งมั่น
成千上万	chéngqiān-shàngwàn	—	หลายพัน
呈现	chéngxiàn	v	ปัจจุบัน
成效	chéngxiào	n	ประสิทธิผล
诚信	chéngxìn	adj	ความซื่อสัตย์
成语	chéngyǔ	n	สำนวน
城镇	chéngzhèn	n	เมือง
称作	chēngzuò	v	เรียกว่า
沉重	chénzhòng	adj	หนัก
撤销	chèxiāo	v	ยกเลิก
尺	chǐ	mw/n	ไม้บรรทัด
尺寸	chǐcùn	n	ขนาด
持久	chíjiǔ	adj	ทนทาน
持有	chíyǒu	v	ถือ
冲	chòng	v/prep	รีบเร่ง
崇拜	chóngbài	v	นมัสการ
冲动	chōngdòng	n/adj	ห่าม
冲击	chōngjī	v	ผลกระทบ
重建	chóngjiàn	v	สร้างใหม่
充实	chōngshí	adj/v	เสริมสร้าง
冲突	chōngtū	v	ความขัดแย้ง
愁	chóu	v	เศร้า
筹备	chóubèi	v	การเตรียมการ
抽奖	chōujiǎng	v	ลอตเตอรี
抽象	chōuxiàng	adj	นามธรรม
除	chú	v/prep	ยกเว้น
串	chuàn	n/mw	เชือก
传承	chuánchéng	v	มรดก
传达	chuándá	v	ถ่ายทอด
闯	chuǎng	v	บุกเข้าไป
创办	chuàngbàn	v	ก่อตั้ง
创建	chuàngjiàn	v	สร้าง
窗口	chuāngkǒu	n	หน้าต่าง
创立	chuànglì	v	ก่อตั้ง
穿过	chuānguò	v	ผ่าน
创意	chuàngyì	n/v	ความคิดสร้างสรรค์
传染	chuánrǎn	v	ติดต่อได้
传染病	chuánrǎnbìng	n	โรคติดเชื้อ
传授	chuánshòu	v	สอน
传输	chuánshū	v	การส่งผ่าน
传真	chuánzhēn	n	แฟกซ์
船只	chuánzhī	n	เรือ
初步	chūbù	adj	เบื้องต้น
出场	chūchǎng	v	ปรากฏขึ้น
处处	chùchù	adv	ทุกที่
储存	chǔcún	v	บันทึก
初等	chūděng	adj	ประถมศึกษา
处罚	chǔfá	v	การลงโทษ
除非	chúfēi	conj	เว้นแต่
垂直	chuízhí	v	แนวตั้ง
出境	chūjìng	v	ออกจากประเทศ
出力	chūlì	v	มีส่วนร่วม
出名	chūmíng	adj	มีชื่อเสียง
纯	chún	adj/adv	บริสุทธิ์
出入	chūrù	n	เข้าและออก
出示	chūshì	v	แสดง
储蓄	chǔxù	v/n	ออมทรัพย์
出游	chūyóu	v	การเดินทาง
出于	chūyú	v	ออกจาก
刺	cì	v/n	หนาม
此刻	cǐkè	n	ในขณะนี้
瓷器	cíqì	n	เครื่องลายคราม
次数	cìshù	n	ครั้ง
匆匆	cōngcōng	adj	กำลังรีบ
匆忙	cōngmáng	adj	กำลังรีบ
从未	cóngwèi	adv	ไม่เคย
从业	cóngyè	v	ฝึกซ้อม
醋	cù	n	น้ำส้มสายชู
脆	cuì	adj	กรอบ
脆弱	cuìruò	adj	เปราะบาง
寸	cùn	mw	นิ้ว
存储	cúnchǔ	v	การจัดเก็บ
村庄	cūnzhuāng	n	หมู่บ้าน
挫折	cuòzhé	v	ความหงุดหงิด
搭	dā	v	ขี่
打交道	dǎ jiāodao	—	จัดการกับ
大臣	dàchén	n	รัฐมนตรี
大吃一惊	dàchī-yìjīng	—	ประหลาดใจ
大地	dàdì	n	โลก
打动	dǎdòng	v	ประทับใจ
大都	dàdū	adv	ดาดู
大方	dàfang	adj	ใจกว้าง
答复	dáfù	v	ตอบกลับ
大幅	dàfú	adv	อย่างมีสาระสำคัญ
大伙儿	dàhuǒr	pron	ทุกคน
待	dài	v	รอก่อน
呆	dāi	adj	อยู่
代价	dàijià	n	ค่าใช้จ่าย
贷款	dàikuǎn	v/n	เงินกู้
代理	dàilǐ	v	ตัวแทน
带领	dàilǐng	v	ตะกั่ว
打击	dǎjī	v	ระเบิด
打架	dǎjià	v	ต่อสู้
打卡	dǎkǎ	v	เช็คอิน
打雷	dǎléi	v	ฟ้าร้อง
蛋白质	dànbáizhì	n	โปรตีน
单纯	dānchún	adj	เรียบง่าย
单调	dāndiào	adj	ซ้ำซากจำเจ
档案	dàng'àn	n	หอจดหมายเหตุ
当场	dāngchǎng	adv	ตรงจุด
当初	dāngchū	n	ในตอนแรก
当代	dāngdài	n	ร่วมสมัย
当今	dāngjīn	n	วันนี้
当面	dāngmiàn	adv	ด้วยตนเอง
当天	dàngtiān	n	วันนั้น
当下	dāngxià	n/adv	ปัจจุบัน
当选	dāngxuǎn	v	ได้รับเลือก
诞生	dànshēng	v	การเกิด
耽误	dānwu	v	ล่าช้า
担忧	dānyōu	v	กังวล
岛	dǎo	n	เกาะ
倒闭	dǎobì	v	ล้มละลายไปเลย
倒车	dǎochē	v	ย้อนกลับ
道德	dàodé	n/adj	คุณธรรม
倒是	dàoshì	adv	ในทางตรงกันข้าม
导师	dǎoshī	n	ที่ปรึกษา
搭配	dāpèi	v/adj	ตรงกัน
大使	dàshǐ	n	เอกอัครราชทูต
大师	dàshī	n	อาจารย์
大洋洲	Dàyángzhōu	n	โอเชียเนีย
打造	dǎzào	v	สร้าง
打仗	dǎzhàng	v	ต่อสู้
大致	dàzhì	adj/adv	ประมาณ
得了	déle	v/part	มาเลย
等级	děngjí	n	ระดับ
灯笼	dēnglong	n	ตะเกียง
得以	déyǐ	v	สามารถ
得知	dézhī	v	เรียนรู้
滴	dī	v/mw	หยด
电饭锅	diànfànguō	n	หม้อหุงข้าว
点击	diǎnjī	v	คลิก
电力	diànlì	n	ไฟฟ้า
典礼	diǎnlǐ	n	พิธี
店铺	diànpù	n	ร้านค้า
点燃	diǎnrán	v	ติดไฟ
典型	diǎnxíng	n/adj	ตามแบบฉบับ
电源	diànyuán	n	แหล่งจ่ายไฟ
吊	diào	v	แขวน
调动	diàodòng	v	โอน
钓鱼	diàoyú	v	ตกปลา
抵达	dǐdá	v	มาถึง
地道	dìdao	adj	ของแท้
跌	diē	v	ตก
地方	dìfāng	n	สถานที่
抵抗	dǐkàng	v	ต่อต้าน
顶	dǐng	n/v/mw	ด้านบน
订单	dìngdān	n	สั่งซื้อ
订婚	dìnghūn	v	การมีส่วนร่วม
定价	dìngjià	v/n	ราคา
定时	dìngshí	v/n	เวลา
定位	dìngwèi	v/n	การวางตำแหน่ง
定义	dìngyì	n/v	คำนิยาม
定制	dìngzhì	v	ปรับแต่ง
低碳	dītàn	adj	คาร์บอนต่ำ
地形	dìxíng	n	ภูมิประเทศ
地域	dìyù	n	ภูมิภาค
地质	dìzhì	n	ธรณีวิทยา
栋	dòng	mw	อาคาร
动机	dòngjī	n	แรงจูงใจ
动力	dònglì	n	แรงจูงใจ
动漫	dòngmàn	n	อะนิเมะ
动态	dòngtài	n/adj	ไดนามิก
动听	dòngtīng	adj	สวยงาม
逗	dòu	v/adj	ตลกดี
斗争	dòuzhēng	v/n	การต่อสู้
毒	dú	n/v/adj	ยาพิษ
渡	dù	v	ข้าม
端	duān	v	สิ้นสุด
短缺	duǎnquē	v	การขาดแคลน
对称	duìchèn	adj	สมมาตร
对接	duìjiē	v	การเชื่อมต่อ
对抗	duìkàng	v	การเผชิญหน้า
对立	duìlì	v	ฝ่ายค้าน
对应	duìyìng	v/adj	สอดคล้องกัน
蹲	dūn	v	หมอบ
顿时	dùnshí	adv	ทันใดนั้น
夺	duó	v	ยึด
躲避	duǒbì	v	หลีกเลี่ยง
多才多艺	duōcái-duōyì	—	อเนกประสงค์
多亏	duōkuī	v	ขอบคุณ
多媒体	duōméitǐ	n	มัลติมีเดีย
夺取	duóqǔ	v	ยึด
多余	duōyú	v/adj	ซ้ำซ้อน
多元	duōyuán	adj	หลากหลาย
都市	dūshì	n	เมือง
恶劣	èliè	adj	ไม่ดี
耳环	ěrhuán	n	ต่างหู
儿科	érkē	n	กุมารเวชศาสตร์
二氧化碳	èryǎnghuàtàn	n	คาร์บอนไดออกไซด์
恶心	ěxin	adj/v	น่าขยะแขยง
发病	fābìng	v	เริ่มมีอาการ
发愁	fāchóu	v	กังวล
发电	fādiàn	v	ผลิตกระแสไฟฟ้า
法定	fǎdìng	adj	ตามกฎหมาย
发动	fādòng	v	เริ่มต้น
发放	fāfàng	v	ปัญหา
法官	fǎguān	n	ผู้พิพากษา
发光	fāguāng	v	เรืองแสง
法规	fǎguī	n	กฎระเบียบ
犯	fàn	v	กระทำ
番	fān	mw	พัดลม
妨碍	fáng'ài	v	ขัดขวาง
放大	fàngdà	v	ซูมเข้า
方方面面	fāngfāngmiànmiàn	n	ทุกด้าน
放飞	fàngfēi	v	ปล่อยให้บิน
房价	fángjià	n	ราคาบ้าน
访谈	fǎngtán	v	สัมภาษณ์
方位	fāngwèi	n	ปฐมนิเทศ
方言	fāngyán	n	ภาษาถิ่น
防治	fángzhì	v	การป้องกันและควบคุม
反馈	fǎnkuì	v	ข้อเสนอแนะ
繁忙	fánmáng	adj	ไม่ว่าง
凡（是）	fán(shì)	adv	ที่ไหน (มี)
反思	fǎnsī	v	การสะท้อนกลับ
繁殖	fánzhí	v	ทำซ้ำ
发票	fāpiào	n	ใบแจ้งหนี้
发行	fāxíng	v	ปัญหา
发炎	fāyán	v	การอักเสบ
发育	fāyù	v	การพัฒนา
肥	féi	adj/v/n	อ้วน
肺	fèi	n	ปอด
肥胖	féipàng	adj	โรคอ้วน
飞速	fēisù	adv	รวดเร็ว
肥沃	féiwò	adj	อุดมสมบูรณ์
肺炎	fèiyán	n	โรคปอดบวม
粉	fěn	n/adj	ผง
封闭	fēngbì	v	ปิดแล้ว
风光	fēngguāng	n	ทิวทัศน์
风力	fēnglì	n	แรงลม
分工	fēngōng	v	การแบ่งงาน
丰收	fēngshōu	v	การเก็บเกี่ยวกันชน
奉献	fèngxiàn	v	การอุทิศตน
风雨	fēngyǔ	n	ลมและฝน
分级	fēnjí	v	การให้เกรด
愤怒	fènnù	adj	โกรธ
分期	fēnqī	v	ผ่อนชำระ
分散	fēnsàn	adj/v	แยกย้ายกันไป
氛围	fēnwéi	n	บรรยากาศ
服	fú	v	เสิร์ฟ
浮	fú	v	ลอย
副2	fù	adj	รอง 2
服从	fúcóng	v	เชื่อฟัง
辅导	fǔdǎo	v	การให้คำปรึกษา
幅度	fúdù	n	แอมพลิจูด
覆盖	fùgài	v	ปก
符号	fúhào	n	สัญลักษณ์
附件	fùjiàn	n	อุปกรณ์เสริม
福利	fúlì	n/v	สวัสดิการ
负面	fùmiàn	adj	เชิงลบ
夫人	fūrén	n	มาดาม
服用	fúyòng	v	ใช้เวลา
富裕	fùyù	adj/v	ร่ำรวย
赋予	fùyǔ	v	มอบให้
辅助	fǔzhù	v/adj	ตัวช่วย
该2	gāi	pron	2
改编	gǎibiān	v	ปรับตัว
概率	gàilǜ	n	ความน่าจะเป็น
改造	gǎizào	v	การเปลี่ยนแปลง
肝	gān	n	ตับ
干脆	gāncuì	adj/adv	ง่ายๆ
尴尬	gāngà	adj	น่าอาย
钢笔	gāngbǐ	n	ปากกา
港口	gǎngkǒu	n	พอร์ต
岗位	gǎngwèi	n	ตำแหน่ง
干旱	gānhàn	adj	ภัยแล้ง
感激	gǎnjī	v	ขอบคุณ
赶忙	gǎnmáng	adv	เร็วเข้า
感染	gǎnrǎn	v	การติดเชื้อ
干扰	gānrǎo	v	การรบกวน
感想	gǎnxiǎng	n	ความคิด
干燥	gānzào	adj	แห้ง
高层	gāocéng	n/adj	ตึกสูง
高超	gāochāo	adj	ยอดเยี่ยม
高等	gāoděng	adj	ขั้นสูง
高端	gāoduān	adj/n	ระดับไฮเอนด์
高峰	gāofēng	n	จุดสูงสุด
稿件	gǎojiàn	n	ต้นฉบับ
高尚	gāoshàng	adj	มีเกียรติ
高手	gāoshǒu	n	อาจารย์
高新技术	gāoxīn-jìshù	—	เทคโนโลยีขั้นสูง
高原	gāoyuán	n	ที่ราบสูง
稿子	gǎozi	n	ต้นฉบับ
割	gē	v	ตัด
隔壁	gébì	n	ประตูถัดไป
歌唱	gēchàng	v	ร้องเพลง
革命	gémìng	v/adj	การปฏิวัติ
跟前	gēnqián	n	ข้างหน้า
跟随	gēnsuí	v	ทำตาม
跟踪	gēnzōng	v	ติดตาม
个体	gètǐ	n	รายบุคคล
公	gōng	adj	สาธารณะ
宫	gōng	n	พระราชวัง
公安	gōng'ān	n	ความปลอดภัยสาธารณะ
工地	gōngdì	n	สถานที่ก่อสร้าง
工夫	gōngfu	n	เวลา
公告	gōnggào	v/n	ประกาศ
巩固	gǒnggù	adj/v	รวม
共计	gòngjì	v	ทั้งหมด
供给	gōngjǐ	v	อุปทาน
攻击	gōngjī	v	โจมตี
公开	gōngkāi	adj/v	สาธารณะ
公民	gōngmín	n	พลเมือง
公认	gōngrèn	v	ได้รับการยอมรับ
功效	gōngxiào	n	ประสิทธิภาพ
工序	gōngxù	n	กระบวนการ
公益	gōngyì	n	สวัสดิการสาธารณะ
供应	gōngyìng	v	อุปทาน
公元	gōngyuán	n	อ.
公正	gōngzhèng	adj	ยุติธรรม
公众	gōngzhòng	n	สาธารณะ
公主	gōngzhǔ	n	เจ้าหญิง
沟	gōu	n	คูน้ำ
构造	gòuzào	v	โครงสร้าง
顾	gù	v	กู่
拐	guǎi	v	หันหลังกลับ
拐弯	guǎiwān	v	เลี้ยว
罐	guàn	n	โถ
官	guān	n	เป็นทางการ
关爱	guān’ài	v	การดูแล
管道	guǎndào	n	ท่อ
官方	guānfāng	n	เป็นทางการ
广阔	guǎngkuò	adj	กว้างใหญ่
观光	guānguāng	v	เที่ยวชมสถานที่
关怀	guānhuái	v	การดูแล
关联	guānlián	v	สมาคม
观赏	guānshǎng	v	ดู
官员	guānyuán	n	เป็นทางการ
古典	gǔdiǎn	adj	คลาสสิค
孤独	gūdú	adj	เหงา
姑姑	gūgu	n	ป้า
跪	guì	v	คุกเข่า
归	guī	v/prep	กลับมา
轨道	guǐdào	n	วงโคจร
规范	guīfàn	n/adj/v	เชิงบรรทัดฐาน
规划	guīhuà	n/v	การวางแผน
归还	guīhuán	v	กลับมา
规矩	guīju	n/adj	กฎ
贵重	guìzhòng	adj	มีคุณค่า
古迹	gǔjì	n	อนุสาวรีย์
棍	gùn	n	ติด
国宝	guóbǎo	n	สมบัติของชาติ
国产	guóchǎn	adj	ในประเทศ
过渡	guòdù	v	การเปลี่ยนแปลง
国歌	guógē	n	เพลงชาติ
过后	guòhòu	n	หลังจากนั้น
国旗	guóqí	n	ธง
国情	guóqíng	n	สภาพของประเทศ
过时	guòshí	v/adj	ล้าสมัย
国王	guówáng	n	กษัตริย์
股票	gǔpiào	n	หุ้น
古人	gǔrén	n	สมัยก่อน
股市	gǔshì	n	ตลาดหุ้น
固体	gùtǐ	n	ของแข็ง
骨头	gǔtou	n	กระดูก
顾问	gùwèn	n	ที่ปรึกษา
鼓舞	gǔwǔ	v/adj	ให้กำลังใจ
故障	gùzhàng	n	ความล้มเหลว
害	hài	n/v	อันตราย
海内外	hǎi nèiwài	—	ที่บ้านและต่างประเทศ
海岸	hǎi'àn	n	ชายฝั่ง
海拔	hǎibá	n	ระดับความสูง
海面	hǎimiàn	n	ผิวน้ำทะเล
海域	hǎiyù	n	พื้นที่ทะเล
寒冬	hándōng	n	ฤดูหนาวที่หนาวเย็น
航空	hángkōng	v	การบิน
罕见	hǎnjiàn	adj	หายาก
含义	hányì	n	ความหมาย
旱灾	hànzāi	n	ภัยแล้ง
毫不	háo bù	—	ไม่เลย
毫无	háo wú	—	ไม่มีอะไร
好不	hǎobù	adv	ดีหรือไม่
好感	hǎogǎn	n	ความประทับใจที่ดี
好客	hàokè	adj	การต้อนรับขับสู้
毫米	háomǐ	mw	มม
好容易	hǎoróngyì	adj	ง่ายมาก
毫升	háoshēng	mw	มล
好学	hàoxué	v	ขยัน
号召	hàozhào	v	เรียกหาอาวุธ
合并	hébìng	v	ผสาน
合成	héchéng	v	การสังเคราะห์
嘿	hēi	interj	เฮ้
黑暗	hēi'àn	adj	ความมืด
恨	hèn	v	เกลียด
狠	hěn	adj/v/adv	โหดเหี้ยม
横	héng	adj/v/n	แนวนอน
衡量	héngliáng	v	วัด
痕迹	hénjì	n	ร่องรอย
和平	hépíng	n	ความสงบสุข
和谐	héxié	adj	ความสามัคคี
核心	héxīn	n	แกนกลาง
宏大	hóngdà	adj	ยิ่งใหญ่
洪水	hóngshuǐ	n	น้ำท่วม
后代	hòudài	n	ลูกหลาน
后期	hòuqī	n	ระยะต่อมา
后人	hòurén	n	ลูกหลาน
后退	hòutuì	v	กลับ
后者	hòuzhě	n	หลัง
壶	hú	n	หม้อ
户	hù	mw	ครัวเรือน
划	huà	v	แถว
滑冰	huábīng	v	สเก็ต
花朵	huāduǒ	n	ดอกไม้
划分	huàfēn	v	แบ่ง
怀	huái	n/v	ตั้งครรภ์
怀念	huáiniàn	v	คิดถึง
怀孕	huáiyùn	v	ตั้งครรภ์
环	huán	n/mw/v	แหวน
患	huàn	v	ทนทุกข์ทรมานจาก
黄	huáng	n	สีเหลือง
皇帝	huángdì	n	จักรพรรดิ์
欢乐	huānlè	adj	ความสุข
幻想	huànxiǎng	v/n	แฟนตาซี
还原	huányuán	v	คืนค่า
患者	huànzhě	n	อดทน
花生	huāshēng	n	ถั่วลิสง
化石	huàshí	n	ฟอสซิล
话筒	huàtǒng	n	ไมโครโฟน
滑行	huáxíng	v	เหิน
滑雪	huáxuě	v	เล่นสกี
化妆	huàzhuāng	v	แต่งหน้า
汇	huì	v	อ่างล้างจาน
回报	huíbào	v	กลับมา
汇报	huìbào	v	รายงาน
灰尘	huīchén	n	ฝุ่น
回顾	huígù	v	ทบทวน
绘画	huìhuà	v	จิตรกรรม
会见	huìjiàn	v	พบกัน
汇款	huìkuǎn	v/n	โอนเงิน
回头	huítóu	v/adv/conj	มองย้อนกลับไป
灰心	huīxīn	adj	ท้อแท้
忽略	hūlüè	v	ไม่สนใจ
混	hùn	v/adv	ผสม
混合	hùnhé	v	ผสม
混乱	hùnluàn	adj	ความวุ่นวาย
婚姻	hūnyīn	n	การแต่งงาน
货币	huòbì	n	สกุลเงิน
火柴	huǒchái	n	ไม้ขีด
货车	huòchē	n	รถบรรทุก
活力	huólì	n	ความมีชีวิตชีวา
活跃	huóyuè	adj/v	ใช้งานอยู่
火灾	huǒzāi	n	ไฟไหม้
互助	hùzhù	v	ความช่วยเหลือซึ่งกันและกัน
胡子	húzi	n	เครา
嫁	jià	v	แต่งงานกัน
夹	jiā	v	คลิป
加倍	jiābèi	v/adv	สองเท่า
家常	jiācháng	n	อบอุ่นเหมือนอยู่บ้าน
家家户户	jiājiāhùhù	n	ทุกครัวเรือน
加剧	jiājù	v	ทำให้รุนแรงขึ้น
家居	jiājū	n	บ้าน
剑	jiàn	n	ดาบ
箭	jiàn	n	ลูกศร
尖	jiān	adj/n	คมชัด
肩膀	jiānbǎng	n	ไหล่
检测	jiǎncè	v	การตรวจจับ
监测	jiāncè	v	จอภาพ
鉴定	jiàndìng	v/n	บัตรประจำตัว
坚定	jiāndìng	adj/v	บริษัท
监督	jiāndū	v	กำกับดูแล
酱	jiàng	n/v	ซอส
间隔	jiàngé	n/v	ช่วงเวลา
讲解	jiǎngjiě	v	อธิบาย
将军	jiāngjūn	n	ทั่วไป
奖牌	jiǎngpái	n	เหรียญรางวัล
奖品	jiǎngpǐn	n	รางวัล
坚固	jiāngù	adj	ของแข็ง
酱油	jiàngyóu	n	ซอสถั่วเหลือง
简化	jiǎnhuà	v	ลดความซับซ้อน
间接	jiànjiē	adj	ทางอ้อม
简介	jiǎnjiè	v/n	บทนำ
坚决	jiānjué	adj	เด็ดเดี่ยว
艰难	jiānnán	adj	ยาก
健全	jiànquán	adj/v	เสียง
减弱	jiǎnruò	v	อ่อนแอลง
艰辛	jiānxīn	adj	ความยากลำบาก
减压	jiǎnyā	v	คลายการบีบอัด
检验	jiǎnyàn	v	ตรวจสอบ
坚硬	jiānyìng	adj	ยาก
兼职	jiānzhí	v/n	งานพาร์ทไทม์
建筑物	jiànzhùwù	n	อาคาร
胶带	jiāodài	n	เทป
焦点	jiāodiǎn	n	โฟกัส
交际	jiāojì	v	การสื่อสาร
焦虑	jiāolǜ	adj	ความวิตกกังวล
角落	jiǎoluò	n	มุม
胶水	jiāoshuǐ	n	กาว
交谈	jiāotán	v	พูดคุย
郊外	jiāowài	n	ชานเมือง
较为	jiàowéi	adv	ค่อนข้าง
教训	jiàoxùn	v/n	บทเรียน
脚印	jiǎoyìn	n	รอยเท้า
假设	jiǎshè	v/n	สมมติฐาน
家属	jiāshǔ	n	สมาชิกในครอบครัว
加以	jiāyǐ	v/conj	เพิ่ม
家园	jiāyuán	n	บ้าน
加重	jiāzhòng	v	ทำให้รุนแรงขึ้น
击败	jībài	v	ความพ่ายแพ้
即便	jíbiàn	conj	แม้กระทั่ง
继承	jìchéng	v	มรดก
基地	jīdì	n	ฐาน
机动车	jīdòngchē	n	ยานยนต์
极端	jíduān	n/adv/adj	สุดขีด
解	jiě	v	วิธีการแก้ปัญหา
结	jiē	v	ปม
饥饿	jī'è	adj	หิว
杰出	jiéchū	adj	โดดเด่น
解答	jiědá	v	ตอบ
解读	jiědú	v	การตีความ
解放	jiěfàng	v	ปลดปล่อย
