Chinese	Pinyin	POS	Thai
干	gàn	v	ทำ
感兴趣	gǎn xìngqù	expr	สนใจ
感到	gǎndào	v	รู้สึก
刚	gāng	adv	เพิ่งจะ
刚才	gāngcái	n	เมื่อกี้
刚刚	gānggāng	adv	เพิ่งจะ
干净	gānjìng	adj	สะอาด
感冒	gǎnmào	n/v	หวัด/เป็นหวัด
高铁	gāotiě	n	รถไฟความเร็วสูง
更	gèng	adv	ยิ่ง/ยิ่งกว่า
根据	gēnjù	v/prep/n	ตามที่/อ้างอิง
公斤	gōngjīn	mw	กิโลกรัม
公园	gōngyuán	n	สวนสาธารณะ
工作日	gōngzuòrì	n	วันทำงาน
刮	guā	v	พัด (ลม)/โกน
关	guān	v/n	ปิด
关机	guānjī	v	ปิดเครื่อง
关系	guānxì	n/v	ความสัมพันธ์
关心	guānxīn	v	ห่วงใย
关于	guānyú	prep	เกี่ยวกับ
关注	guānzhù	v	ติดตาม/สนใจ
国家	guójiā	n	ประเทศ
过节	guòjié	v	ฉลองเทศกาล
过去	guòqù	n	อดีต
故事	gùshi	n	เรื่องราว/นิทาน
海	hǎi	n	ทะเล
害怕	hàipà	v	กลัว
好多	hǎoduō	num	หลายมาก
好久	hǎojiǔ	adj	นานมาก
号码	hàomǎ	n	หมายเลข
好像	hǎoxiàng	v/adv	เหมือน/ดูเหมือน
河	hé	n	แม่น้ำ
黑板	hēibǎn	n	กระดานดำ
合适	héshì	adj	เหมาะสม
红绿灯	hóng-lǜdēng	n	ไฟจราจร
后来	hòulái	n	ต่อมา/ภายหลัง
后年	hòunián	n	อีกสองปีข้างหน้า
后天	hòutiān	n	มะรืนนี้
画家	huàjiā	n	จิตรกร
还	huán	v	คืน
换	huàn	v	เปลี่ยน
黄色	huángsè	n	สีเหลือง
环境	huánjìng	n	สิ่งแวดล้อม
欢迎	huānyíng	v	ยินดีต้อนรับ
花园	huāyuán	n	สวนดอกไม้
会	huì	n	การประชุม
回答	huídá	v	ตอบ
会议	huìyì	n	การประชุม
或	huò	conj/adv	หรือ
或者	huòzhě	conj	หรือ
护照	hùzhào	n	หนังสือเดินทาง
极	jí	adv	มากที่สุด
急	jí	adj/v	รีบ/ด่วน
记	jì	v	จำ/บันทึก
季	jì	n	ฤดูกาล
鸡	jī	n	ไก่
加	jiā	v	เพิ่ม
检查	jiǎnchá	v	ตรวจสอบ
坚持	jiānchí	v	ยืนหยัด
简单	jiǎndān	adj	ง่าย
讲	jiǎng	v	พูด/บรรยาย
健康	jiànkāng	adj	สุขภาพดี
见面	jiànmiàn	v	พบกัน
检票	jiǎnpiào	v	ตรวจตั๋ว
角	jiǎo	mw	เจี่ยว (0.1 หยวน)
脚	jiǎo	n	เท้า
假期	jiàqī	n	วันหยุด
节	jié	mw/n	ชั่วโมงเรียน/ปม
借	jiè	v	ยืม
接	jiē	v	รับ/ต้อนรับ
街	jiē	n	ถนน/ย่าน
结婚	jiéhūn	v	แต่งงาน
解决	jiějué	v	แก้ปัญหา
姐妹	jiěmèi	n	พี่สาวน้องสาว
节目	jiémù	n	รายการ
节日	jiérì	n	เทศกาล/วันหยุด
结束	jiéshù	v	จบ/สิ้นสุด
几乎	jīhū	adv	เกือบจะ
机会	jīhuì	n	โอกาส
季节	jìjié	n	ฤดูกาล
斤	jīn	mw	จิน (0.5 กิโลกรัม)
经过	jīngguò	v/n	ผ่าน
经理	jīnglǐ	n	ผู้จัดการ
旧	jiù	adj	เก่า
久	jiǔ	adj	นาน
酒	jiǔ	n	เครื่องดื่มแอลกอฮอล์
句	jù	mw	ประโยค
决定	juédìng	v/n	ตัดสินใจ
句子	jùzi	n	ประโยค
卡	kǎ	n	บัตร
开花	kāihuā	v	ออกดอก
开会	kāihuì	v	ประชุม
开机	kāijī	v	เปิดเครื่อง
开心	kāixīn	adj	มีความสุข
看来	kànlái	v	ดูเหมือน
刻	kè	mw/v	15 นาที/แกะสลัก
可	kě	conj/adv	แต่/ทว่า
渴	kě	adj	กระหายน้ำ
可爱	kě'ài	adj	น่ารัก
课本	kèběn	n	ตำราเรียน
客人	kèrén	n	แขก
可是	kěshì	conj	แต่
课文	kèwén	n	บทเรียน
空调	kōngtiáo	n	เครื่องปรับอากาศ
哭	kū	v	ร้องไห้
筷子	kuàizi	n	ตะเกียบ
矿泉水	kuàngquánshuǐ	n	น้ำแร่
来自	láizì	v	มาจาก
蓝	lán	adj	สีน้ำเงิน
老	lǎo	adj/prefix/adv	เก่า/แก่
老人	lǎorén	n	ผู้สูงอายุ
练	liàn	v	ฝึกซ้อม
脸	liǎn	n	ใบหน้า
辆	liàng	mw	คัน (รถ)
凉快	liángkuai	adj	เย็นสบาย
练习	liànxí	v/n	ฝึกหัด/แบบฝึกหัด
聊	liáo	v	คุย/สนทนา
了解	liǎojiě	v	เข้าใจ/รู้จัก
聊天儿	liáotiānr	v	คุยเล่น
离开	líkāi	v	ออกจาก
邻居	línjū	n	เพื่อนบ้าน
历史	lìshǐ	n	ประวัติศาสตร์
留学	liúxué	v	ไปเรียนต่างประเทศ
留学生	liúxuéshēng	n	นักเรียนต่างชาติ
礼物	lǐwù	n	ของขวัญ
楼梯	lóutī	n	บันได
路边	lùbiān	n	ข้างถนน
路口	lùkǒu	n	ทางแยก
马	mǎ	n	ม้า
马路	mǎlù	n	ถนน
满意	mǎnyì	v	พอใจ
毛	máo	mw/n	เหมา (0.1 หยวน)
马上	mǎshàng	adv	ทันที
米	mǐ	mw	เมตร
面前	miànqián	n	ตรงหน้า
明白	míngbai	adj/v	เข้าใจ
名单	míngdān	n	รายชื่อ
名人	míngrén	n	คนดัง/ผู้มีชื่อเสียง
南	nán	n	ใต้
难	nán	adj/v	ยาก
南方	nánfāng	n	ภาคใต้
难过	nánguò	adj	เสียใจ
难看	nánkàn	adj	น่าเกลียด/ดูไม่ดี
男人	nánrén	n	ผู้ชาย
男生	nánshēng	n	นักเรียนชาย
难题	nántí	n	ปัญหายาก
难听	nántīng	adj	ไม่ไพเราะ
年级	niánjí	n	ชั้น/ระดับชั้น
年轻	niánqīng	adj	หนุ่มสาว/อายุน้อย
牛	niú	n/adj	วัว
努力	nǔlì	v/adj	พยายาม
女人	nǚrén	n	ผู้หญิง
女生	nǚshēng	n	นักเรียนหญิง
爬	pá	v	ปีน
怕	pà	v/adv	กลัว
拍照	pāizhào	v	ถ่ายรูป
胖	pàng	adj	อ้วน
盘子	pánzi	n	จาน
啤酒	píjiǔ	n	เบียร์
平时	píngshí	n	ปกติ/โดยปกติ
瓶子	píngzi	n	ขวด
骑	qí	v	ขี่
起	qǐ	v/mw	ลุก/ขึ้น
铅笔	qiānbǐ	n	ดินสอ
前年	qiánnián	n	สองปีที่แล้ว
前天	qiántiān	n	วานซืน
汽车	qìchē	n	รถยนต์
起飞	qǐfēi	v	ขึ้นบิน
奇怪	qíguài	adj	แปลก
清楚	qīngchu	adj/v	ชัดเจน
请假	qǐngjià	v	ลา (หยุดงาน)
请客	qǐngkè	v	เลี้ยง (ออกค่าใช้จ่าย)
其实	qíshí	adv	จริงๆ แล้ว
其他	qítā	pron	อื่นๆ
球场	qiúchǎng	n	สนามกีฬา
秋天	qiūtiān	n	ฤดูใบไม้ร่วง
裙子	qúnzi	n	กระโปรง
然后	ránhòu	conj	หลังจากนั้น
认得	rènde	v	รู้จัก
认为	rènwéi	v	คิดว่า
认真	rènzhēn	adj	จริงจัง
热情	rèqíng	adj	กระตือรือร้น/อบอุ่น
容易	róngyì	adj	ง่าย
如果	rúguǒ	conj	ถ้าหาก
伞	sǎn	n	ร่ม
扫	sǎo	v	กวาด
沙发	shāfā	n	โซฟา
山	shān	n	ภูเขา
上衣	shàngyī	n	เสื้อชั้นนอก
勺子	sháozi	n	ช้อน
身边	shēnbiān	n	ข้างๆ ตัว
声	shēng	n/mw	เสียง
身高	shēngāo	n	ส่วนสูง
生活	shēnghuó	n/v	ชีวิต/ใช้ชีวิต
生气	shēngqì	v	โกรธ
声音	shēngyīn	n	เสียง
市	shì	n	เมือง
试	shì	v	ลอง
室	shì	n	ห้อง
世界	shìjiè	n	โลก
受	shòu	v	รับ/ทน
瘦	shòu	adj	ผอม
收	shōu	v	เก็บ/รับ
受到	shòudào	v	ได้รับ
收到	shōudào	v	รับได้
树	shù	n	ต้นไม้
刷	shuā	v	แปรง
双	shuāng	mw	คู่
水平	shuǐpíng	n	ระดับ/ฝีมือ
叔叔	shūshu	n	อา/ลุง
数学	shùxué	n	คณิตศาสตร์
四季	sìjì	n	สี่ฤดู
司机	sījī	n	คนขับรถ
太阳	tàiyáng	n	ดวงอาทิตย์
糖	táng	n	น้ำตาล/ลูกอม
特别	tèbié	adj/adv	พิเศษ/โดยเฉพาะ
甜	tián	adj	หวาน
跳	tiào	v	กระโดด
提高	tígāo	v	ยกระดับ/ปรับปรุง
挺	tǐng	adv/v	ค่อนข้าง
听说	tīngshuō	v	ได้ยินว่า
体育	tǐyù	n	พลศึกษา/กีฬา
体育馆	tǐyùguǎn	n	โรงยิม/ศูนย์กีฬา
同事	tóngshì	n	เพื่อนร่วมงาน
同意	tóngyì	v	เห็นด้วย
头发	tóufa	n	ผม
腿	tuǐ	n	ขา
突然	tūrán	adj	ทันใด/กะทันหัน
图书馆	túshūguǎn	n	ห้องสมุด
外地	wàidì	n	ต่างจังหวัด
外卖	wàimài	v/n	สั่งอาหาร/อาหารเดลิเวอรี
外语	wàiyǔ	n	ภาษาต่างประเทศ
碗	wǎn	n	ชาม
完成	wánchéng	v	เสร็จสิ้น
晚点	wǎndiǎn	v	สาย/ล่าช้า
忘记	wàngjì	v	ลืม
网球	wǎngqiú	n	เทนนิส
网站	wǎngzhàn	n	เว็บไซต์
晚会	wǎnhuì	n	งานปาร์ตี้ตอนเย็น
为	wèi	prep	เพื่อ
为了	wèile	prep	เพื่อที่จะ
卫生间	wèishēngjiān	n	ห้องน้ำ
文化	wénhuà	n	วัฒนธรรม
屋子	wūzi	n	ห้อง
西	xī	n	ตะวันตก
喜爱	xǐ'ài	v	ชื่นชอบ
先	xiān	adv	ก่อน
向	xiàng	v/prep	หัน/ไปทาง
像	xiàng	v/adv/n	เหมือนกับ
相机	xiàngjī	n	กล้องถ่ายรูป
香蕉	xiāngjiāo	n	กล้วย
相信	xiāngxìn	v	เชื่อ
箱子	xiāngzi	n	กล่อง/หีบ
小区	xiǎoqū	n	หมู่บ้าน/คอนโด
小心	xiǎoxīn	v/adj	ระวัง
校园	xiàoyuán	n	วิทยาเขต
校长	xiàozhǎng	n	ผู้อำนวยการโรงเรียน
夏天	xiàtiān	n	ฤดูร้อน
西北	xīběi	n	ตะวันตกเฉียงเหนือ
鞋	xié	n	รองเท้า
西方	xīfāng	n	ตะวันตก
西瓜	xīguā	n	แตงโม
习惯	xíguàn	v/n	ชิน/นิสัย
信	xìn	v/n	เชื่อ/จดหมาย
西南	xīnán	n	ตะวันตกเฉียงใต้
行	xíng	v/adj	ได้/โอเค
行李	xíngli	n	กระเป๋าเดินทาง
兴趣	xìngqù	n	ความสนใจ
心里	xīnlǐ	n	ในใจ
新年	xīnnián	n	ปีใหม่
新闻	xīnwén	n	ข่าว
新鲜	xīnxiān	adj	สด
信用卡	xìnyòngkǎ	n	บัตรเครดิต
休假	xiūjià	v	ลาพักร้อน
洗衣机	xǐyījī	n	เครื่องซักผ้า
洗澡	xǐzǎo	v	อาบน้ำ
选	xuǎn	v	เลือก
选择	xuǎnzé	v/n	เลือก/ตัวเลือก
学期	xuéqī	n	ภาคเรียน
需要	xūyào	v/n	ต้องการ
牙	yá	n	ฟัน
羊	yáng	n	แกะ
养	yǎng	v	เลี้ยง
要求	yāoqiú	v/n	ร้องขอ/ข้อกำหนด
牙刷	yáshuā	n	แปรงสีฟัน
页	yè	mw	หน้า (หนังสือ)
一般	yìbān	adj	ทั่วไป/ธรรมดา
一边	yìbiān	adv	ในขณะที่
一定	yídìng	adj/adv	แน่นอน
一共	yígòng	adv	รวมทั้งหมด
以后	yǐhòu	n	หลังจาก
一块儿	yíkuàir	n/adv	ด้วยกัน
应该	yīnggāi	v	ควร
影响	yǐngxiǎng	v/n	มีผลต่อ/ผลกระทบ
银行	yínháng	n	ธนาคาร
银行卡	yínhángkǎ	n	บัตรธนาคาร
饮料	yǐnliào	n	เครื่องดื่ม
音乐	yīnyuè	n	ดนตรี
以前	yǐqián	n	ก่อนหน้า
以上	yǐshàng	n	ขึ้นไป/ข้างต้น
以外	yǐwài	n	นอกจาก
以为	yǐwéi	v	คิดว่า (ผิด)
以下	yǐxià	n	ข้างล่าง/ต่ำกว่า
一样	yíyàng	adj	เหมือนกัน
一直	yìzhí	adv	ตลอด/เรื่อยๆ
用	yòng	v	ใช้
又	yòu	adv	อีก/อีกครั้ง
有关	yǒuguān	v/prep	เกี่ยวข้อง
邮件	yóujiàn	n	อีเมล/จดหมาย
游客	yóukè	n	นักท่องเที่ยว
有名	yǒumíng	adj	มีชื่อเสียง
游戏	yóuxì	n	เกม
邮箱	yóuxiāng	n	กล่องจดหมาย/อีเมล
有用	yǒuyòng	adj	มีประโยชน์
园	yuán	n	สวน
员	yuán	suffix	พนักงาน/สมาชิก (suffix)
愿意	yuànyì	v	ยินดี/เต็มใจ
遇到	yùdào	v	พบเจอ
越	yuè	adv	ยิ่ง...ยิ่ง
月亮	yuèliang	n	พระจันทร์
遇见	yùjiàn	v	พบเจอ
羽毛球	yǔmáoqiú	n	แบดมินตัน
运动会	yùndònghuì	n	การแข่งขันกีฬา
运动员	yùndòngyuán	n	นักกีฬา
语言	yǔyán	n	ภาษา
雨衣	yǔyī	n	เสื้อกันฝน
脏	zāng	adj	สกปรก
咱们	zánmen	pron	พวกเรา (รวมผู้ฟัง)
怎么办	zěnmebàn	expr	ทำอย่างไรดี
怎样	zěnyàng	pron	อย่างไร
站	zhàn	v	ยืน
长	zhǎng	v/suffix	เติบโต
张	zhāng	v/mw	แผ่น (classifier สิ่งแบน)
照	zhào	v	ส่อง/ถ่าย
照顾	zhàogù	v	ดูแล
着急	zháojí	adj	กังวล/รีบ
照片	zhàopiàn	n	รูปถ่าย
照相	zhàoxiàng	v	ถ่ายรูป
只	zhǐ	adv	เพียงแต่/แค่
纸	zhǐ	n	กระดาษ
只能	zhǐ néng	expr	ทำได้เพียง
直到	zhídào	v	จนกระทั่ง
只是	zhǐshì	adv/conj	แค่/เพียงแต่
只要	zhǐyào	conj	ขอเพียงแต่
只有	zhǐyǒu	conj	มีเพียง/แต่เพียง
种	zhǒng	mw	ชนิด/ประเภท
中	zhōng	n	กลาง
中间	zhōngjiān	n	ตรงกลาง
重要	zhòngyào	adj	สำคัญ
终于	zhōngyú	adv	ในที่สุด
周末	zhōumò	n	วันหยุดสุดสัปดาห์
主要	zhǔyào	adj	หลัก/สำคัญ
注意	zhùyì	v	ระวัง/ใส่ใจ
住院	zhùyuàn	v	นอนโรงพยาบาล
子	zi	suffix	(noun suffix)
字典	zìdiǎn	n	พจนานุกรม
自行车	zìxíngchē	n	จักรยาน
总	zǒng	adv/v/adj	รวม/เสมอ
总是	zǒngshì	adv	เสมอ
嘴	zuǐ	n	ปาก
最好	zuìhǎo	adv	ดีที่สุด/ควร
最后	zuìhòu	n	สุดท้าย
最近	zuìjìn	n	เร็วๆ นี้
做客	zuòkè	v	ไปเยี่ยมบ้านคนอื่น
作业	zuòyè	n	การบ้าน
