Chinese	Pinyin	POS	Thai
被子	bèizi	n	ผ้าห่มนวม
本2	běn	adv/pron	เดิมที, แต่เดิม
本地	běndì	n	ท้องถิ่น
本领	běnlǐng	n	ความสามารถ, ทักษะ
本人	běnrén	pron	ตัวฉันเอง (ผู้พูดเอง)
本质	běnzhì	n	สาระสำคัญ, แก่นแท้
必	bì	adv	ต้อง, จำเป็นต้อง
便	biàn	adv	ก็ (คำเชื่อม เท่ากับ 就)
变动	biàndòng	v	เปลี่ยนแปลง
便利	biànlì	adj/v	สะดวกสบาย
便利店	biànlìdiàn	n	ร้านสะดวกซื้อ
表达	biǎodá	v	แสดงออก, สื่อความหมาย
表面	biǎomiàn	n	พื้นผิว, ผิวหน้า
表明	biǎomíng	v	แสดงให้เห็น, บ่งชี้
表情	biǎoqíng	n	สีหน้า, การแสดงออกทางสีหน้า
标题	biāotí	n	หัวข้อเรื่อง, ชื่อเรื่อง
标志	biāozhì	n/v	เครื่องหมาย, สัญลักษณ์
彼此	bǐcǐ	pron	กันและกัน, ต่างฝ่ายต่างกัน
别2	bié	v	อย่า (ห้ามทำ)
比分	bǐfēn	n	คะแนน (การแข่งขัน)
毕竟	bìjìng	adv	ยังไงก็ตาม, ท้ายที่สุดแล้ว
比例	bǐlì	n	สัดส่วน, อัตราส่วน
避免	bìmiǎn	v	หลีกเลี่ยง
闭幕式	bìmùshì	n	พิธีปิด
饼	bǐng	n	ขนม, แป้งอบ
病房	bìngfáng	n	หอผู้ป่วย, ห้องพักผู้ป่วย
病情	bìngqíng	n	อาการป่วย
必然	bìrán	adj/n	หลีกเลี่ยงไม่ได้, ต้องเป็นแน่
必需	bìxū	v	จำเป็นต้องมี, ขาดไม่ได้
必要	bìyào	adj	จำเป็น
比喻	bǐyù	v/n	อุปมาอุปไมย
拨打	bōdǎ	v	กดโทร, โทรออก
玻璃	bōli	n	แก้ว (วัสดุ)
博物馆	bówùguǎn	n	พิพิธภัณฑ์
补充	bǔchōng	v	เสริม, เพิ่มเติม
不得了	bùdéliǎo	adj	เหลือเชื่อ, ร้ายแรงมาก
不符	bùfú	v	ไม่ตรงกัน, ไม่สอดคล้อง
不利	búlì	adj	ไม่เป็นผลดี, เสียเปรียบ
不良	bùliáng	adj	ไม่ดี, เลว
不然	bùrán	conj/（形）	มิฉะนั้น
不幸	búxìng	adj/n	โชคร้าย, น่าเสียดาย
步行	bùxíng	v	เดินเท้า
不要紧	búyàojǐn	adj	ไม่เป็นไร, ไม่สำคัญ
不足	bùzú	v/n	ไม่เพียงพอ
才2	cái	n	เพิ่งจะ, เพียงแค่ (ทีหลัง才)
采访	cǎifǎng	v	สัมภาษณ์
裁判	cáipàn	v/n	กรรมการตัดสิน
采取	cǎiqǔ	v	ใช้ (มาตรการ)
彩色	cǎisè	n	สี, สีสัน
采用	cǎiyòng	v	นำมาใช้
藏	cáng	v	ซ่อน, เก็บ
参考	cānkǎo	v	อ้างอิง, ปรึกษา
餐饮	cānyǐn	n	อาหารและเครื่องดื่ม
参与	cānyù	v	เข้าร่วม, มีส่วนร่วม
操作	cāozuò	v	ปฏิบัติงาน, ดำเนินการ
册	cè	mw	เล่ม (ลักษณนามหนังสือ)
测	cè	v	ทดสอบ, วัด
曾	céng	adv	เคย (ในอดีต)
曾经	céngjīng	adv	เคย, เคยเป็นมาแล้ว
测试	cèshì	v	ทดสอบ
插	chā	v	เสียบ, สอดใส่
差别	chābié	n	ความแตกต่าง
拆	chāi	v	รื้อถอน, แกะออก
差距	chājù	n	ช่องว่าง, ความแตกต่าง
产	chǎn	v	ผลิต
长处	chángchù	n	จุดแข็ง, ข้อดี
长度	chángdù	n	ความยาว
长久	chángjiǔ	adj	ยาวนาน, ยั่งยืน
长期	chángqī	n/adj	ระยะยาว
常识	chángshí	n	สามัญสำนึก, ความรู้ทั่วไป
尝试	chángshì	v	ลอง, พยายามทำ
场所	chǎngsuǒ	n	สถานที่
长途	chángtú	adj	ทางไกล, ระยะไกล
长远	chángyuǎn	adj	ระยะยาว, ยาวไกล
产量	chǎnliàng	n	ผลผลิต, ปริมาณการผลิต
产品	chǎnpǐn	n	สินค้า, ผลิตภัณฑ์
产业	chǎnyè	n	อุตสาหกรรม
朝	cháo	v/prep	ไปทาง, มุ่งหน้าไปทาง
吵	chǎo	adj/v	เสียงดัง, ทะเลาะเสียงดัง
炒	chǎo	v	ผัด
超	chāo	v	เกิน, เหนือ
超出	chāochū	v	เกินกว่า
超级	chāojí	adj	สุดยอด, ระดับสูงสุด
超速	chāosù	v	ขับรถเร็วเกินกำหนด
叉子	chāzi	n	ส้อม
彻底	chèdǐ	adj	อย่างถอนรากถอนโคน, สิ้นเชิง
车祸	chēhuò	n	อุบัติเหตุรถยนต์
车库	chēkù	n	โรงรถ, ที่จอดรถ
车辆	chēliàng	n	ยานพาหนะ
沉	chén	v/adj	จม; หนัก, นิ่ง
称1	chēng	v	ชั่ง(น้ำหนัก)
称2	chēng	v	เรียกว่า, เรียกขาน
成本	chéngběn	n	ต้นทุน
承担	chéngdān	v	รับผิดชอบ, แบกรับ
程度	chéngdù	n	ระดับ, ขั้น
成分	chéngfèn	n	ส่วนประกอบ, องค์ประกอบ
成果	chéngguǒ	n	ผลสำเร็จ
成就	chéngjiù	n/v	ความสำเร็จ
成立	chénglì	v	ก่อตั้งขึ้น, จัดตั้งขึ้น
成年1	chéngnián	v	บรรลุนิติภาวะ
城区	chéngqū	n	เขตเมือง
成人	chéngrén	v/n	ผู้ใหญ่, บรรลุนิติภาวะ
承认	chéngrèn	v	ยอมรับ
承受	chéngshòu	v	ทนได้, รับได้
成熟	chéngshú	v/adj	เป็นผู้ใหญ่, สุกงอม
称为	chēngwéi	v	เรียกว่า
乘务员	chéngwùyuán	n	พนักงานต้อนรับ(รถ/เครื่องบิน)
程序	chéngxù	n	โปรแกรม, ขั้นตอน
成员	chéngyuán	n	สมาชิก
称赞	chēngzàn	v	ชื่นชม, ยกย่อง
成长	chéngzhǎng	v	เติบโต
橙子	chéngzi	n	ส้ม (ผลไม้)
沉默	chénmò	v	นิ่งเงียบ, เงียบขรึม
车厢	chēxiāng	n	ตู้โดยสาร (รถไฟ)
车主	chēzhǔ	n	เจ้าของรถ
池	chí	n	บ่อ, สระ
翅膀	chìbǎng	n	ปีก
持续	chíxù	v	ดำเนินต่อเนื่อง, ต่อเนื่อง
尺子	chǐzi	n	ไม้บรรทัด
冲	chōng	v	พุ่งเข้าใส่, ชง(น้ำ)
充电	chōngdiàn	v	ชาร์จไฟ
充分	chōngfèn	adj	อย่างเต็มที่, เพียงพอ
重复	chóngfù	v	ทำซ้ำ
充满	chōngmǎn	v	เต็มไปด้วย
宠物	chǒngwù	n	สัตว์เลี้ยง
充值	chōngzhí	v	เติมเงิน
虫子	chóngzi	n	แมลง
充足	chōngzú	adj	เพียงพอ, พอเพียง
臭	chòu	adj	มีกลิ่นเหม็น
丑	chǒu	adj	น่าเกลียด, อัปลักษณ์
抽	chōu	v	สูบ, ดึงออก
处	chù	n	ที่, สถานที่
处	chǔ	v	จัดการ, อยู่ใน
初	chū	n/adv/prefix	เริ่มต้น, ตอนต้น
传	chuán	v	ส่งต่อ, ถ่ายทอด
传播	chuánbō	v	แพร่กระจาย
传递	chuándì	v	ส่งต่อ, ถ่ายทอด
床单	chuángdān	n	ผ้าปูที่นอน
窗台	chuāngtái	n	ขอบหน้าต่าง
创新	chuàngxīn	v/n	นวัตกรรม
创业	chuàngyè	v	เริ่มต้นธุรกิจ
创造	chuàngzào	v	สร้างสรรค์, สร้างขึ้น
创作	chuàngzuò	v/n	สร้างสรรค์ผลงาน
传说	chuánshuō	v/n	ตำนาน, เรื่องเล่า
传统	chuántǒng	n/adj	ประเพณี, ดั้งเดิม
出版	chūbǎn	v	ตีพิมพ์, จัดพิมพ์
初级	chūjí	adj	ระดับต้น, ขั้นพื้นฐาน
处理	chǔlǐ	v	จัดการ, ดำเนินการแก้ไข
初期	chūqī	n	ระยะเริ่มต้น
出色	chūsè	adj	ยอดเยี่ยม, โดดเด่น
出售	chūshòu	v	ขาย, จำหน่าย
除夕	chúxī	n	วันส่งท้ายปีเก่า (จีน)
出席	chūxí	v	เข้าร่วม (พิธี/ประชุม)
处于	chǔyú	v	อยู่ใน (สภาวะ)
出自	chūzì	v	มาจาก, มีที่มาจาก
此后	cǐhòu	n	หลังจากนั้น
词汇	cíhuì	n	คำศัพท์
刺激	cìjī	v/n	กระตุ้น, เร้าใจ, น่าตื่นเต้น
此前	cǐqián	n	ก่อนหน้านี้
此时	cǐshí	n	ในเวลานี้, ขณะนี้
辞职	cízhí	v	ลาออก
从不	cóng bù	—	ไม่เคย
从而	cóng’ér	conj	ดังนั้น, จึง
从前	cóngqián	n	กาลครั้งหนึ่ง, แต่ก่อน
从事	cóngshì	v	ประกอบอาชีพ, ทำ(กิจการ)
催	cuī	v	เร่ง, กระตุ้นให้รีบ
促进	cùjìn	v	ส่งเสริม, ผลักดัน
存放	cúnfàng	v	เก็บรักษาไว้, วางไว้
存款	cúnkuǎn	v/n	เงินฝาก
存在	cúnzài	v	มีอยู่จริง, ดำรงอยู่
措施	cuòshī	n	มาตรการ
促使	cùshǐ	v	ผลักดันให้เกิด, กระตุ้นให้
促销	cùxiāo	v	ส่งเสริมการขาย, โปรโมชั่น
打扮	dǎban	v	แต่งตัว
打包	dǎbāo	v	ห่อ, แพ็คของ
达成	dáchéng	v	บรรลุ(ข้อตกลง)
大胆	dàdǎn	adj	กล้าหาญ, กล้าได้กล้าเสีย
打断	dǎduàn	v	ขัดจังหวะ, ทำให้หยุดชะงัก
大多	dàduō	adv	ส่วนใหญ่
大会	dàhuì	n	สมัชชาใหญ่, การประชุมใหญ่
代	dài	v/n	แทน; รุ่น(อายุ)
代表	dàibiǎo	n/v	เป็นตัวแทน
带动	dàidòng	v	ผลักดัน, ขับเคลื่อน
代替	dàitì	v	แทนที่
待遇	dàiyù	n	การปฏิบัติ, สวัสดิการ(ที่ได้รับ)
大力	dàlì	n/adv	อย่างเต็มที่, อย่างจริงจัง
大妈	dàmā	n	ป้า (สตรีวัยกลางคน)
大米	dàmǐ	n	ข้าวสาร
淡	dàn	adj	จืด, จาง
单	dān	adj/adv/n/mw	เดี่ยว, เดียว
大脑	dànǎo	n	สมอง
单独	dāndú	adv	ตามลำพัง, คนเดียว
当	dàng	v	ถือว่า, ปฏิบัติต่อ
挡	dǎng	v	กีดขวาง, บัง
当成	dàngchéng	v	ถือว่าเป็น, มองว่าเป็น
当地	dāngdì	n	ท้องถิ่น
当年	dāngnián	n	ปีนั้น, สมัยนั้น
当前	dāngqián	v/n	ปัจจุบัน
当中	dāngzhōng	n	ในหมู่, ท่ามกลาง
当作	dàngzuò	v	ถือว่าเป็น, ทำเป็น
担任	dānrèn	v	ดำรงตำแหน่ง, รับหน้าที่
胆小	dǎnxiǎo	adj	ขี้ขลาด, ขี้กลัว
单一	dānyī	adj	เดี่ยว, เดียว (ไม่หลากหลาย)
单元	dānyuán	n	หน่วย
倒	dǎo	v	ล้ม, หกล้ม
到达	dàodá	v	มาถึง
道理	dàolǐ	n	เหตุผล, หลักการ
到期	dàoqī	v	หมดอายุ, ครบกำหนด
导演	dǎoyǎn	v/n	ผู้กำกับ, กำกับ(ภาพยนตร์)
导致	dǎozhì	v	ทำให้เกิด, เป็นเหตุให้
大批	dàpī	adj	จำนวนมาก, ล็อตใหญ่
打破	dǎpò	v	ทำลาย, ทำให้แตก
大厦	dàshà	n	อาคารสูงใหญ่
大事	dàshì	n	เรื่องใหญ่, งานสำคัญ
打听	dǎting	v	สอบถาม, ไต่ถาม
大象	dàxiàng	n	ช้าง
大型	dàxíng	adj	ขนาดใหญ่
大爷	dàye	n	ลุง (ชายสูงอายุ)
大于	dàyú	v	มากกว่า
大众	dàzhòng	n	มวลชน, ประชาชนทั่วไป
登	dēng	v	ขึ้น, ปีน
等待	děngdài	v	รอคอย
灯光	dēngguāng	n	แสงไฟ
等候	děnghòu	v	กำลังรอคอย
登记	dēngjì	v	ลงทะเบียน
登录	dēnglù	v	เข้าสู่ระบบ
等于	děngyú	v	เท่ากับ
递	dì	v	ส่งมอบ, ยื่นให้
电池	diànchí	n	แบตเตอรี่
电动	diàndòng	adj	ไฟฟ้า, ใช้ไฟฟ้า
电器	diànqì	n	เครื่องใช้ไฟฟ้า
电商	diànshāng	n	อีคอมเมิร์ซ
电视台	diànshìtái	n	สถานีโทรทัศน์
点心	diǎnxin	n	ของว่าง, ขนม
点赞	diǎnzàn	v	กดไลก์, ชื่นชม
电子版	diànzǐbǎn	n	ฉบับอิเล็กทรอนิกส์
调1	diào	v	ปรับ, ย้าย(ตำแหน่ง)
调研	diàoyán	v	สำรวจวิจัย
地理	dìlǐ	n	ภูมิศาสตร์
地面	dìmiàn	n	พื้นดิน
定期	dìngqī	v/adj	เป็นประจำ, ตามกำหนดเวลา
地区	dìqū	n	เขตพื้นที่
的确	díquè	adv	แน่นอน, จริงๆ
敌人	dírén	n	ศัตรู
低头	dītóu	v	ก้มหัว
丢失	diūshī	v	สูญหาย
地位	dìwèi	n	สถานะ, ฐานะ
地下	dìxià	n/adj	ใต้ดิน
地震	dìzhèn	v	แผ่นดินไหว
冻	dòng	v	แช่แข็ง, หนาวเย็น
洞	dòng	n	รู, โพรง
动画	dònghuà	n	แอนิเมชัน, การ์ตูน
动人	dòngrén	adj	น่าประทับใจ, สะเทือนใจ
动手	dòngshǒu	v	ลงมือทำ
豆腐	dòufu	n	เต้าหู้
豆浆	dòujiāng	n	นมถั่วเหลือง
度	dù	mw/n/v/suffix	องศา, ระดับ
堵	dǔ	v/adj/mw	อุดตัน, ติดขัด (การจราจร)
断	duàn	v	หัก, ขาด
短处	duǎnchù	n	ข้อเสีย, จุดอ่อน
短期	duǎnqī	n/adj	ระยะสั้น
堆	duī	v/n/mw	กอง, กองสุม
对比	duìbǐ	v/n	เปรียบเทียบ, ความแตกต่าง
对待	duìdài	v	ปฏิบัติต่อ
对手	duìshǒu	n	คู่ต่อสู้
队伍	duìwu	n	ทีม, กองกำลัง
对象	duìxiàng	n	เป้าหมาย, คู่กรณี
独立	dúlì	v/adj	เป็นอิสระ, พึ่งตนเอง
吨	dūn	mw	ตัน (หน่วยน้ำหนัก)
朵	duǒ	mw	ดอก (ลักษณนามดอกไม้)
躲	duǒ	v	หลบซ่อน, หลบเลี่ยง
独特	dútè	adj	เป็นเอกลักษณ์, ไม่ซ้ำใคร
读音	dúyīn	n	การออกเสียง(อ่าน)
独自	dúzì	adv	ตามลำพัง, คนเดียว
儿女	érnǚ	n	ลูกๆ (บุตรชายหญิง)
二手	èrshǒu	adj	มือสอง
二维码	èrwéimǎ	n	คิวอาร์โค้ด
罚	fá	v	ลงโทษ, ปรับ
发表	fābiǎo	v	ตีพิมพ์เผยแพร่, แสดงความเห็น
发布	fābù	v	เผยแพร่, ประกาศ
发达	fādá	adj/v	พัฒนาแล้ว, เจริญ
发挥	fāhuī	v	ใช้(ความสามารถ)ให้เต็มที่
罚款	fákuǎn	v/n	ปรับเงิน, ค่าปรับ
发明	fāmíng	v/n	การประดิษฐ์คิดค้น
反	fǎn	adj/v/adv	ตรงข้าม, ต่อต้าน
翻	fān	v	พลิก, แปล
反而	fǎn’ér	adv	ในทางตรงกันข้าม, กลับกัน
反复	fǎnfù	adv/v/n	ซ้ำแล้วซ้ำเล่า
防	fáng	v	ป้องกัน
方	fāng	adj/n	สี่เหลี่ยม; ด้าน, ฝ่าย
方案	fāng'àn	n	แผนงาน, วิธีการ
仿佛	fǎngfú	adv	ราวกับว่า, เหมือนกับ
访问	fǎngwèn	v	เยี่ยมเยือน, สัมภาษณ์
房屋	fángwū	n	บ้านเรือน, ที่อยู่อาศัย
防止	fángzhǐ	v	ป้องกันไม่ให้เกิด
返回	fǎnhuí	v	กลับ, ย้อนกลับ
番茄	fānqié	n	มะเขือเทศ
繁荣	fánróng	adj/v	ความเจริญรุ่งเรือง
范围	fànwéi	n	ขอบเขต, ช่วง
反应	fǎnyìng	v/n	ปฏิกิริยา, การตอบสนอง
反映	fǎnyìng	v	สะท้อนให้เห็น
反正	fǎnzhèng	adv	ยังไงก็ตาม, อย่างไรก็ตาม
发起	fāqǐ	v	ริเริ่ม, เริ่มดำเนินการ
发言	fāyán	v/n	กล่าวสุนทรพจน์, แสดงความเห็น
发音	fāyīn	v/n	การออกเสียง
法院	fǎyuàn	n	ศาล
飞行	fēixíng	v	บิน, การบิน
飞行员	fēixíngyuán	n	นักบิน
非洲	Fēizhōu	n	แอฟริกา
分别	fēnbié	v/adv/n	แยกจากกัน; ตามลำดับ
分布	fēnbù	v	กระจายตัวอยู่
奋斗	fèndòu	v	ต่อสู้ดิ้นรน, มุมานะ
纷纷	fēnfēn	adj/adv	ทยอย, ต่างพากัน(ทำ)
丰富多彩	fēngfù-duōcǎi	—	มีสีสัน, หลากหลาย
风格	fēnggé	n	สไตล์, รูปแบบ
疯狂	fēngkuáng	adj	บ้าคลั่ง, คลั่งไคล้
风俗	fēngsú	n	ขนบธรรมเนียมประเพณี
风险	fēngxiǎn	n	ความเสี่ยง
分类	fēnlèi	v	จำแนกประเภท
分离	fēnlí	v	แยกออกจากกัน
分配	fēnpèi	v	จัดสรร, แบ่งปัน
分手	fēnshǒu	v	เลิกรากัน
分析	fēnxī	v	วิเคราะห์
分享	fēnxiǎng	v	แบ่งปัน
否定	fǒudìng	v/adj	ปฏิเสธ, ไม่ยอมรับ
否认	fǒurèn	v	ปฏิเสธ(ไม่ยอมรับความจริง)
扶	fú	v	พยุง, ประคอง
福	fú	n	โชค, พร
副1	fù	mw	ชุด, คู่ (ลักษณนาม); รอง
富	fù	adj	ร่ำรวย
付出	fùchū	v	จ่าย, ทุ่มเท
负担	fùdān	v/n	ภาระ
夫妇	fūfù	n	สามีภรรยา, คู่สมรส
妇女	fùnǚ	n	สตรี, ผู้หญิง
富有	fùyǒu	adj/v	ร่ำรวย, อุดมสมบูรณ์
复制	fùzhì	v	คัดลอก, ทำซ้ำ
服装	fúzhuāng	n	เสื้อผ้า, เครื่องแต่งกาย
盖	gài	n/v	ฝา, ปิดคลุม
改革	gǎigé	v	ปฏิรูป
改进	gǎijìn	v	ปรับปรุงให้ดีขึ้น
概括	gàikuò	v/adj	สรุปโดยรวม
概念	gàiniàn	n	แนวคิด, มโนทัศน์
改善	gǎishàn	v	ปรับปรุงให้ดีขึ้น
改天	gǎitiān	adv	วันหลัง, วันอื่น
改正	gǎizhèng	v	แก้ไขให้ถูกต้อง
刚好	gānghǎo	adj/adv	พอดี, บังเอิญพอดี
敢于	gǎnyú	v	กล้าที่จะ
搞	gǎo	v	ทำ, จัดการ
告别	gàobié	v	อำลา, บอกลา
高大	gāodà	adj	สูงใหญ่
高档	gāodàng	adj	ระดับไฮเอนด์, หรูหรา
高度	gāodù	n/adj	ความสูง
高级	gāojí	adj	ระดับสูง, ขั้นสูง
高科技	gāokējì	n	เทคโนโลยีชั้นสูง
高效	gāoxiào	adj	มีประสิทธิภาพสูง
隔	gé	v	กั้น, คั่น
个别	gèbié	adv/adj	เฉพาะราย, บางส่วน
歌词	gēcí	n	เนื้อเพลง
各行各业	gèháng-gèyè	—	ทุกสาขาอาชีพ
根	gēn	n/mw	ราก
根本	gēnběn	n/adj/adv	พื้นฐาน, รากฐาน; โดยพื้นฐาน
更换	gēnghuàn	v	เปลี่ยนแทนที่
更新	gēngxīn	v	อัปเดต, ปรับปรุงใหม่
歌曲	gēqǔ	n	เพลง
个人	gèrén	n	ส่วนบุคคล, ส่วนตัว
格外	géwài	adv	เป็นพิเศษ
个性	gèxìng	n	บุคลิกภาพ, นิสัยเฉพาะตัว
各自	gèzì	pron	แต่ละคน, ต่างคนต่าง
公布	gōngbù	v	ประกาศให้ทราบ
工程	gōngchéng	n	วิศวกรรม, โครงการก่อสร้าง
工程师	gōngchéngshī	n	วิศวกร
工具	gōngjù	n	เครื่องมือ
功能	gōngnéng	n	ฟังก์ชัน, การใช้งาน
公平	gōngpíng	adj	ยุติธรรม, เป็นธรรม
公务员	gōngwùyuán	n	ข้าราชการ
恭喜	gōngxǐ	v	ขอแสดงความยินดี
贡献	gòngxiàn	v/n	มีส่วนร่วม, อุทิศ(ให้)
共享	gòngxiǎng	v	แบ่งปันร่วมกัน
工业	gōngyè	n	อุตสาหกรรม
工艺	gōngyì	n	งานฝีมือ, กรรมวิธี
公寓	gōngyù	n	อพาร์ตเมนต์
构成	gòuchéng	v/n	ประกอบขึ้นเป็น
沟通	gōutōng	v	สื่อสาร, ทำความเข้าใจกัน
古	gǔ	adj	โบราณ, เก่าแก่
鼓	gǔ	n/v/adj	กลอง
挂号	guàhào	v	ลงทะเบียน(พบแพทย์)
怪	guài	adj/v/adv	แปลก, ประหลาด
关闭	guānbì	v	ปิด (ระบบ/กิจการ)
观察	guānchá	v	สังเกต, เฝ้าดู
观点	guāndiǎn	n	มุมมอง, ทัศนะ
广	guǎng	adj	กว้าง
广场	guǎngchǎng	n	ลานกว้าง, จัตุรัส
广大	guǎngdà	adj	กว้างใหญ่, มากมาย
广泛	guǎngfàn	adj	กว้างขวาง, แพร่หลาย
光临	guānglín	v	มาเยือน (คำสุภาพ)
光明	guāngmíng	n/adj	สว่างไสว, สดใส
光线	guāngxiàn	n	แสง, ลำแสง
冠军	guànjūn	n	แชมป์เปี้ยน
观念	guānniàn	n	แนวคิด, ทัศนคติ
古代	gǔdài	n	สมัยโบราณ
固定	gùdìng	v	ตรึงให้แน่น, กำหนดตายตัว
规律	guīlǜ	n/adj	กฎเกณฑ์, ความสม่ำเสมอ
规模	guīmó	n	ขนาด, สเกล
贵姓	guìxìng	n	นามสกุลของท่าน (คำถามสุภาพ)
规则	guīzé	n/adj	กฎเกณฑ์, ระเบียบ
柜子	guìzi	n	ตู้ (เฟอร์นิเจอร์)
古老	gǔlǎo	adj	เก่าแก่, โบราณ
滚	gǔn	v	กลิ้ง; ไปให้พ้น
锅	guō	n	หม้อ, กระทะ
过度	guòdù	adj	มากเกินไป, เกินขอบเขต
过分	guòfèn	adj	เกินกว่าเหตุ, มากเกินไป
国画	guóhuà	n	ภาพวาดจีน
过敏	guòmǐn	v	แพ้(สารก่อภูมิแพ้)
过期	guòqī	v	หมดอายุ
国庆	guóqìng	n	วันชาติ(จีน)
果然	guǒrán	adv	สมจริงตามคาด, เป็นไปตามที่คิด
果实	guǒshí	n	ผลไม้, ผลผลิต
过于	guòyú	adv	มากเกินไป
故乡	gùxiāng	n	บ้านเกิด
鼓掌	gǔzhǎng	v	ปรบมือ
哈	hā	onom/interj	ฮ่า (เสียงหัวเราะ)
海关	hǎiguān	n	ศุลกากร, ด่านศุลกากร
海外	hǎiwài	n	ต่างประเทศ
海鲜	hǎixiān	n	อาหารทะเล
含	hán	v	มี, บรรจุ
行	háng	n/mw	แถว; สาขาอาชีพ
行业	hángyè	n	อุตสาหกรรม, วงการ
含量	hánliàng	n	ปริมาณที่มีอยู่
汗水	hànshuǐ	n	เหงื่อ
含有	hányǒu	v	มี, บรรจุ
好	hào	v	ชอบ, รัก(สิ่งใดสิ่งหนึ่ง)
好评	hǎopíng	n	คำวิจารณ์ในทางดี
好奇	hàoqí	adj	อยากรู้อยากเห็น
好运	hǎoyùn	n	โชคดี
好转	hǎozhuǎn	v	ดีขึ้น, ทุเลาลง
合	hé	v	รวมกัน, เข้ากันได้
合法	héfǎ	adj	ถูกกฎหมาย
盒饭	héfàn	n	ข้าวกล่อง
黑	hēi	adj	ดำ
合理	hélǐ	adj	สมเหตุสมผล
河流	héliú	n	แม่น้ำ, ลำน้ำ
合同	hétóng	n	สัญญา
合影	héyǐng	v/n	ภาพถ่ายหมู่
合作	hézuò	v	ร่วมมือกัน
红	hóng	adj	แดง
厚度	hòudù	n	ความหนา
后果	hòuguǒ	n	ผลที่ตามมา (ทางลบ)
猴子	hóuzi	n	ลิง
湖	hú	n	ทะเลสาบ
滑	huá	adj/v	ลื่น; ไถล
划	huá	v	พาย(เรือ), ขีด
化	huà	suffix/（动）	กลายเป็น..., -ภาวะ (คำเสริมท้าย)
话费	huàfèi	n	ค่าโทรศัพท์
花费	huāfèi	v	เสียค่าใช้จ่าย, ใช้จ่าย
画面	huàmiàn	n	ภาพ, ภาพบนจอ
黄瓜	huángguā	n	แตงกวา
黄金	huángjīn	n	ทองคำ
环节	huánjié	n	ขั้นตอน, องค์ประกอบย่อย
缓解	huǎnjiě	v	บรรเทา, ผ่อนคลาย
缓慢	huǎnmàn	adj	เชื่องช้า, ช้า
话题	huàtí	n	หัวข้อสนทนา
化学	huàxué	n	เคมี
蝴蝶	húdié	n	ผีเสื้อ
互动	hùdòng	v	โต้ตอบกัน, มีปฏิสัมพันธ์
灰	huī	n/adj	สีเทา; ฝุ่นเถ้า
挥	huī	v	โบก(มือ), สะบัด
恢复	huīfù	v	ฟื้นฟู, กลับคืนสู่สภาพเดิม
汇率	huìlǜ	n	อัตราแลกเปลี่ยน
灰色	huīsè	n/adj	สีเทา
回收	huíshōu	v	เก็บกลับคืน, รีไซเคิล
婚礼	hūnlǐ	n	งานแต่งงาน
伙	huǒ	mw	กลุ่ม, พวก (ลักษณนาม)
伙伴	huǒbàn	n	เพื่อนร่วมงาน, หุ้นส่วน
火锅	huǒguō	n	หม้อไฟ, สุกี้
或是	huòshì	adv/conj	หรือ
货物	huòwù	n	สินค้า, สิ่งของ
或许	huòxǔ	adv	บางที, อาจจะ
忽视	hūshì	v	มองข้าม, ไม่ใส่ใจ
胡同	hútòng	n	ตรอกซอย (ปักกิ่ง)
户外	hùwài	n	กลางแจ้ง
